>GEOMETRY   sphere; AX,AY,AZ= 0.4120 0.4120 0.4120
     33377 = NAT 
  1.000000  0.000000  0.000000 = A_1 vector
  0.000000  1.000000  0.000000 = A_2 vector
  1.000000  1.000000  1.000000 = lattice spacings (d_x,d_y,d_z)/d
 -0.00000 -0.00000 -0.00000 = lattice offset x0(1-3) = (x_TF, y_TF, z_TF)/d for dipole 0 0 0
     JA  IX  IY  IZ ICOMP(x,y,z)
     1  1  21  21 1 1 1
     2  2  15  20 1 1 1
     3  2  15  21 1 1 1
     4  2  15  22 1 1 1
     5  2  16  18 1 1 1
     6  2  16  19 1 1 1
     7  2  16  20 1 1 1
     8  2  16  21 1 1 1
     9  2  16  22 1 1 1
     10  2  16  23 1 1 1
     11  2  16  24 1 1 1
     12  2  17  17 1 1 1
     13  2  17  18 1 1 1
     14  2  17  19 1 1 1
     15  2  17  20 1 1 1
     16  2  17  21 1 1 1
     17  2  17  22 1 1 1
     18  2  17  23 1 1 1
     19  2  17  24 1 1 1
     20  2  17  25 1 1 1
     21  2  18  16 1 1 1
     22  2  18  17 1 1 1
     23  2  18  18 1 1 1
     24  2  18  19 1 1 1
     25  2  18  20 1 1 1
     26  2  18  21 1 1 1
     27  2  18  22 1 1 1
     28  2  18  23 1 1 1
     29  2  18  24 1 1 1
     30  2  18  25 1 1 1
     31  2  18  26 1 1 1
     32  2  19  16 1 1 1
     33  2  19  17 1 1 1
     34  2  19  18 1 1 1
     35  2  19  19 1 1 1
     36  2  19  20 1 1 1
     37  2  19  21 1 1 1
     38  2  19  22 1 1 1
     39  2  19  23 1 1 1
     40  2  19  24 1 1 1
     41  2  19  25 1 1 1
     42  2  19  26 1 1 1
     43  2  20  15 1 1 1
     44  2  20  16 1 1 1
     45  2  20  17 1 1 1
     46  2  20  18 1 1 1
     47  2  20  19 1 1 1
     48  2  20  20 1 1 1
     49  2  20  21 1 1 1
     50  2  20  22 1 1 1
     51  2  20  23 1 1 1
     52  2  20  24 1 1 1
     53  2  20  25 1 1 1
     54  2  20  26 1 1 1
     55  2  20  27 1 1 1
     56  2  21  15 1 1 1
     57  2  21  16 1 1 1
     58  2  21  17 1 1 1
     59  2  21  18 1 1 1
     60  2  21  19 1 1 1
     61  2  21  20 1 1 1
     62  2  21  21 1 1 1
     63  2  21  22 1 1 1
     64  2  21  23 1 1 1
     65  2  21  24 1 1 1
     66  2  21  25 1 1 1
     67  2  21  26 1 1 1
     68  2  21  27 1 1 1
     69  2  22  15 1 1 1
     70  2  22  16 1 1 1
     71  2  22  17 1 1 1
     72  2  22  18 1 1 1
     73  2  22  19 1 1 1
     74  2  22  20 1 1 1
     75  2  22  21 1 1 1
     76  2  22  22 1 1 1
     77  2  22  23 1 1 1
     78  2  22  24 1 1 1
     79  2  22  25 1 1 1
     80  2  22  26 1 1 1
     81  2  22  27 1 1 1
     82  2  23  16 1 1 1
     83  2  23  17 1 1 1
     84  2  23  18 1 1 1
     85  2  23  19 1 1 1
     86  2  23  20 1 1 1
     87  2  23  21 1 1 1
     88  2  23  22 1 1 1
     89  2  23  23 1 1 1
     90  2  23  24 1 1 1
     91  2  23  25 1 1 1
     92  2  23  26 1 1 1
     93  2  24  16 1 1 1
     94  2  24  17 1 1 1
     95  2  24  18 1 1 1
     96  2  24  19 1 1 1
     97  2  24  20 1 1 1
     98  2  24  21 1 1 1
     99  2  24  22 1 1 1
     100  2  24  23 1 1 1
     101  2  24  24 1 1 1
     102  2  24  25 1 1 1
     103  2  24  26 1 1 1
     104  2  25  17 1 1 1
     105  2  25  18 1 1 1
     106  2  25  19 1 1 1
     107  2  25  20 1 1 1
     108  2  25  21 1 1 1
     109  2  25  22 1 1 1
     110  2  25  23 1 1 1
     111  2  25  24 1 1 1
     112  2  25  25 1 1 1
     113  2  26  18 1 1 1
     114  2  26  19 1 1 1
     115  2  26  20 1 1 1
     116  2  26  21 1 1 1
     117  2  26  22 1 1 1
     118  2  26  23 1 1 1
     119  2  26  24 1 1 1
     120  2  27  20 1 1 1
     121  2  27  21 1 1 1
     122  2  27  22 1 1 1
     123  3  13  18 1 1 1
     124  3  13  19 1 1 1
     125  3  13  20 1 1 1
     126  3  13  21 1 1 1
     127  3  13  22 1 1 1
     128  3  13  23 1 1 1
     129  3  13  24 1 1 1
     130  3  14  16 1 1 1
     131  3  14  17 1 1 1
     132  3  14  18 1 1 1
     133  3  14  19 1 1 1
     134  3  14  20 1 1 1
     135  3  14  21 1 1 1
     136  3  14  22 1 1 1
     137  3  14  23 1 1 1
     138  3  14  24 1 1 1
     139  3  14  25 1 1 1
     140  3  14  26 1 1 1
     141  3  15  15 1 1 1
     142  3  15  16 1 1 1
     143  3  15  17 1 1 1
     144  3  15  18 1 1 1
     145  3  15  19 1 1 1
     146  3  15  20 1 1 1
     147  3  15  21 1 1 1
     148  3  15  22 1 1 1
     149  3  15  23 1 1 1
     150  3  15  24 1 1 1
     151  3  15  25 1 1 1
     152  3  15  26 1 1 1
     153  3  15  27 1 1 1
     154  3  16  14 1 1 1
     155  3  16  15 1 1 1
     156  3  16  16 1 1 1
     157  3  16  17 1 1 1
     158  3  16  18 1 1 1
     159  3  16  19 1 1 1
     160  3  16  20 1 1 1
     161  3  16  21 1 1 1
     162  3  16  22 1 1 1
     163  3  16  23 1 1 1
     164  3  16  24 1 1 1
     165  3  16  25 1 1 1
     166  3  16  26 1 1 1
     167  3  16  27 1 1 1
     168  3  16  28 1 1 1
     169  3  17  14 1 1 1
     170  3  17  15 1 1 1
     171  3  17  16 1 1 1
     172  3  17  17 1 1 1
     173  3  17  18 1 1 1
     174  3  17  19 1 1 1
     175  3  17  20 1 1 1
     176  3  17  21 1 1 1
     177  3  17  22 1 1 1
     178  3  17  23 1 1 1
     179  3  17  24 1 1 1
     180  3  17  25 1 1 1
     181  3  17  26 1 1 1
     182  3  17  27 1 1 1
     183  3  17  28 1 1 1
     184  3  18  13 1 1 1
     185  3  18  14 1 1 1
     186  3  18  15 1 1 1
     187  3  18  16 1 1 1
     188  3  18  17 1 1 1
     189  3  18  18 1 1 1
     190  3  18  19 1 1 1
     191  3  18  20 1 1 1
     192  3  18  21 1 1 1
     193  3  18  22 1 1 1
     194  3  18  23 1 1 1
     195  3  18  24 1 1 1
     196  3  18  25 1 1 1
     197  3  18  26 1 1 1
     198  3  18  27 1 1 1
     199  3  18  28 1 1 1
     200  3  18  29 1 1 1
     201  3  19  13 1 1 1
     202  3  19  14 1 1 1
     203  3  19  15 1 1 1
     204  3  19  16 1 1 1
     205  3  19  17 1 1 1
     206  3  19  18 1 1 1
     207  3  19  19 1 1 1
     208  3  19  20 1 1 1
     209  3  19  21 1 1 1
     210  3  19  22 1 1 1
     211  3  19  23 1 1 1
     212  3  19  24 1 1 1
     213  3  19  25 1 1 1
     214  3  19  26 1 1 1
     215  3  19  27 1 1 1
     216  3  19  28 1 1 1
     217  3  19  29 1 1 1
     218  3  20  13 1 1 1
     219  3  20  14 1 1 1
     220  3  20  15 1 1 1
     221  3  20  16 1 1 1
     222  3  20  17 1 1 1
     223  3  20  18 1 1 1
     224  3  20  19 1 1 1
     225  3  20  20 1 1 1
     226  3  20  21 1 1 1
     227  3  20  22 1 1 1
     228  3  20  23 1 1 1
     229  3  20  24 1 1 1
     230  3  20  25 1 1 1
     231  3  20  26 1 1 1
     232  3  20  27 1 1 1
     233  3  20  28 1 1 1
     234  3  20  29 1 1 1
     235  3  21  13 1 1 1
     236  3  21  14 1 1 1
     237  3  21  15 1 1 1
     238  3  21  16 1 1 1
     239  3  21  17 1 1 1
     240  3  21  18 1 1 1
     241  3  21  19 1 1 1
     242  3  21  20 1 1 1
     243  3  21  21 1 1 1
     244  3  21  22 1 1 1
     245  3  21  23 1 1 1
     246  3  21  24 1 1 1
     247  3  21  25 1 1 1
     248  3  21  26 1 1 1
     249  3  21  27 1 1 1
     250  3  21  28 1 1 1
     251  3  21  29 1 1 1
     252  3  22  13 1 1 1
     253  3  22  14 1 1 1
     254  3  22  15 1 1 1
     255  3  22  16 1 1 1
     256  3  22  17 1 1 1
     257  3  22  18 1 1 1
     258  3  22  19 1 1 1
     259  3  22  20 1 1 1
     260  3  22  21 1 1 1
     261  3  22  22 1 1 1
     262  3  22  23 1 1 1
     263  3  22  24 1 1 1
     264  3  22  25 1 1 1
     265  3  22  26 1 1 1
     266  3  22  27 1 1 1
     267  3  22  28 1 1 1
     268  3  22  29 1 1 1
     269  3  23  13 1 1 1
     270  3  23  14 1 1 1
     271  3  23  15 1 1 1
     272  3  23  16 1 1 1
     273  3  23  17 1 1 1
     274  3  23  18 1 1 1
     275  3  23  19 1 1 1
     276  3  23  20 1 1 1
     277  3  23  21 1 1 1
     278  3  23  22 1 1 1
     279  3  23  23 1 1 1
     280  3  23  24 1 1 1
     281  3  23  25 1 1 1
     282  3  23  26 1 1 1
     283  3  23  27 1 1 1
     284  3  23  28 1 1 1
     285  3  23  29 1 1 1
     286  3  24  13 1 1 1
     287  3  24  14 1 1 1
     288  3  24  15 1 1 1
     289  3  24  16 1 1 1
     290  3  24  17 1 1 1
     291  3  24  18 1 1 1
     292  3  24  19 1 1 1
     293  3  24  20 1 1 1
     294  3  24  21 1 1 1
     295  3  24  22 1 1 1
     296  3  24  23 1 1 1
     297  3  24  24 1 1 1
     298  3  24  25 1 1 1
     299  3  24  26 1 1 1
     300  3  24  27 1 1 1
     301  3  24  28 1 1 1
     302  3  24  29 1 1 1
     303  3  25  14 1 1 1
     304  3  25  15 1 1 1
     305  3  25  16 1 1 1
     306  3  25  17 1 1 1
     307  3  25  18 1 1 1
     308  3  25  19 1 1 1
     309  3  25  20 1 1 1
     310  3  25  21 1 1 1
     311  3  25  22 1 1 1
     312  3  25  23 1 1 1
     313  3  25  24 1 1 1
     314  3  25  25 1 1 1
     315  3  25  26 1 1 1
     316  3  25  27 1 1 1
     317  3  25  28 1 1 1
     318  3  26  14 1 1 1
     319  3  26  15 1 1 1
     320  3  26  16 1 1 1
     321  3  26  17 1 1 1
     322  3  26  18 1 1 1
     323  3  26  19 1 1 1
     324  3  26  20 1 1 1
     325  3  26  21 1 1 1
     326  3  26  22 1 1 1
     327  3  26  23 1 1 1
     328  3  26  24 1 1 1
     329  3  26  25 1 1 1
     330  3  26  26 1 1 1
     331  3  26  27 1 1 1
     332  3  26  28 1 1 1
     333  3  27  15 1 1 1
     334  3  27  16 1 1 1
     335  3  27  17 1 1 1
     336  3  27  18 1 1 1
     337  3  27  19 1 1 1
     338  3  27  20 1 1 1
     339  3  27  21 1 1 1
     340  3  27  22 1 1 1
     341  3  27  23 1 1 1
     342  3  27  24 1 1 1
     343  3  27  25 1 1 1
     344  3  27  26 1 1 1
     345  3  27  27 1 1 1
     346  3  28  16 1 1 1
     347  3  28  17 1 1 1
     348  3  28  18 1 1 1
     349  3  28  19 1 1 1
     350  3  28  20 1 1 1
     351  3  28  21 1 1 1
     352  3  28  22 1 1 1
     353  3  28  23 1 1 1
     354  3  28  24 1 1 1
     355  3  28  25 1 1 1
     356  3  28  26 1 1 1
     357  3  29  18 1 1 1
     358  3  29  19 1 1 1
     359  3  29  20 1 1 1
     360  3  29  21 1 1 1
     361  3  29  22 1 1 1
     362  3  29  23 1 1 1
     363  3  29  24 1 1 1
     364  4  11  18 1 1 1
     365  4  11  19 1 1 1
     366  4  11  20 1 1 1
     367  4  11  21 1 1 1
     368  4  11  22 1 1 1
     369  4  11  23 1 1 1
     370  4  11  24 1 1 1
     371  4  12  16 1 1 1
     372  4  12  17 1 1 1
     373  4  12  18 1 1 1
     374  4  12  19 1 1 1
     375  4  12  20 1 1 1
     376  4  12  21 1 1 1
     377  4  12  22 1 1 1
     378  4  12  23 1 1 1
     379  4  12  24 1 1 1
     380  4  12  25 1 1 1
     381  4  12  26 1 1 1
     382  4  13  15 1 1 1
     383  4  13  16 1 1 1
     384  4  13  17 1 1 1
     385  4  13  18 1 1 1
     386  4  13  19 1 1 1
     387  4  13  20 1 1 1
     388  4  13  21 1 1 1
     389  4  13  22 1 1 1
     390  4  13  23 1 1 1
     391  4  13  24 1 1 1
     392  4  13  25 1 1 1
     393  4  13  26 1 1 1
     394  4  13  27 1 1 1
     395  4  14  14 1 1 1
     396  4  14  15 1 1 1
     397  4  14  16 1 1 1
     398  4  14  17 1 1 1
     399  4  14  18 1 1 1
     400  4  14  19 1 1 1
     401  4  14  20 1 1 1
     402  4  14  21 1 1 1
     403  4  14  22 1 1 1
     404  4  14  23 1 1 1
     405  4  14  24 1 1 1
     406  4  14  25 1 1 1
     407  4  14  26 1 1 1
     408  4  14  27 1 1 1
     409  4  14  28 1 1 1
     410  4  15  13 1 1 1
     411  4  15  14 1 1 1
     412  4  15  15 1 1 1
     413  4  15  16 1 1 1
     414  4  15  17 1 1 1
     415  4  15  18 1 1 1
     416  4  15  19 1 1 1
     417  4  15  20 1 1 1
     418  4  15  21 1 1 1
     419  4  15  22 1 1 1
     420  4  15  23 1 1 1
     421  4  15  24 1 1 1
     422  4  15  25 1 1 1
     423  4  15  26 1 1 1
     424  4  15  27 1 1 1
     425  4  15  28 1 1 1
     426  4  15  29 1 1 1
     427  4  16  12 1 1 1
     428  4  16  13 1 1 1
     429  4  16  14 1 1 1
     430  4  16  15 1 1 1
     431  4  16  16 1 1 1
     432  4  16  17 1 1 1
     433  4  16  18 1 1 1
     434  4  16  19 1 1 1
     435  4  16  20 1 1 1
     436  4  16  21 1 1 1
     437  4  16  22 1 1 1
     438  4  16  23 1 1 1
     439  4  16  24 1 1 1
     440  4  16  25 1 1 1
     441  4  16  26 1 1 1
     442  4  16  27 1 1 1
     443  4  16  28 1 1 1
     444  4  16  29 1 1 1
     445  4  16  30 1 1 1
     446  4  17  12 1 1 1
     447  4  17  13 1 1 1
     448  4  17  14 1 1 1
     449  4  17  15 1 1 1
     450  4  17  16 1 1 1
     451  4  17  17 1 1 1
     452  4  17  18 1 1 1
     453  4  17  19 1 1 1
     454  4  17  20 1 1 1
     455  4  17  21 1 1 1
     456  4  17  22 1 1 1
     457  4  17  23 1 1 1
     458  4  17  24 1 1 1
     459  4  17  25 1 1 1
     460  4  17  26 1 1 1
     461  4  17  27 1 1 1
     462  4  17  28 1 1 1
     463  4  17  29 1 1 1
     464  4  17  30 1 1 1
     465  4  18  11 1 1 1
     466  4  18  12 1 1 1
     467  4  18  13 1 1 1
     468  4  18  14 1 1 1
     469  4  18  15 1 1 1
     470  4  18  16 1 1 1
     471  4  18  17 1 1 1
     472  4  18  18 1 1 1
     473  4  18  19 1 1 1
     474  4  18  20 1 1 1
     475  4  18  21 1 1 1
     476  4  18  22 1 1 1
     477  4  18  23 1 1 1
     478  4  18  24 1 1 1
     479  4  18  25 1 1 1
     480  4  18  26 1 1 1
     481  4  18  27 1 1 1
     482  4  18  28 1 1 1
     483  4  18  29 1 1 1
     484  4  18  30 1 1 1
     485  4  18  31 1 1 1
     486  4  19  11 1 1 1
     487  4  19  12 1 1 1
     488  4  19  13 1 1 1
     489  4  19  14 1 1 1
     490  4  19  15 1 1 1
     491  4  19  16 1 1 1
     492  4  19  17 1 1 1
     493  4  19  18 1 1 1
     494  4  19  19 1 1 1
     495  4  19  20 1 1 1
     496  4  19  21 1 1 1
