>GEOMETRY   rect_prism; AX,AY,AZ= 0.7054 0.7054 0.7054
     25375 = NAT 
  1.000000  0.000000  0.000000 = A_1 vector
  0.000000  1.000000  0.000000 = A_2 vector
  1.000000  1.000000  1.000000 = lattice spacings (d_x,d_y,d_z)/d
 -0.14185 -0.17135 -0.12465 = lattice offset x0(1-3) = (x_TF, y_TF, z_TF)/d for dipole 0 0 0
     JA  IX  IY  IZ ICOMP(x,y,z)
     199  1  8  24 1 1 1
     200  1  8  25 1 1 1
     201  1  9  1 1 1 1
     202  1  9  2 1 1 1
     203  1  9  3 1 1 1
     204  1  9  4 1 1 1
     205  1  9  5 1 1 1
     206  1  9  6 1 1 1
     207  1  9  7 1 1 1
     208  1  9  8 1 1 1
     209  1  9  9 1 1 1
     210  1  9  10 1 1 1
     211  1  9  11 1 1 1
     212  1  9  12 1 1 1
     213  1  9  13 1 1 1
     214  1  9  14 1 1 1
     215  1  9  15 1 1 1
     216  1  9  16 1 1 1
     217  1  9  17 1 1 1
     218  1  9  18 1 1 1
     219  1  9  19 1 1 1
     220  1  9  20 1 1 1
     221  1  9  21 1 1 1
     222  1  9  22 1 1 1
     223  1  9  23 1 1 1
     224  1  9  24 1 1 1
     225  1  9  25 1 1 1
     226  1  10  1 1 1 1
     227  1  10  2 1 1 1
     228  1  10  3 1 1 1
     229  1  10  4 1 1 1
     230  1  10  5 1 1 1
     231  1  10  6 1 1 1
     232  1  10  7 1 1 1
     233  1  10  8 1 1 1
     234  1  10  9 1 1 1
     235  1  10  10 1 1 1
     236  1  10  11 1 1 1
     237  1  10  12 1 1 1
     238  1  10  13 1 1 1
     239  1  10  14 1 1 1
     240  1  10  15 1 1 1
     241  1  10  16 1 1 1
     242  1  10  17 1 1 1
     243  1  10  18 1 1 1
     244  1  10  19 1 1 1
     245  1  10  20 1 1 1
     246  1  10  21 1 1 1
     247  1  10  22 1 1 1
     248  1  10  23 1 1 1
     249  1  10  24 1 1 1
     250  1  10  25 1 1 1
     251  1  11  1 1 1 1
     252  1  11  2 1 1 1
     253  1  11  3 1 1 1
     254  1  11  4 1 1 1
     255  1  11  5 1 1 1
     256  1  11  6 1 1 1
     257  1  11  7 1 1 1
     258  1  11  8 1 1 1
     259  1  11  9 1 1 1
     260  1  11  10 1 1 1
     261  1  11  11 1 1 1
     262  1  11  12 1 1 1
     263  1  11  13 1 1 1
     264  1  11  14 1 1 1
     265  1  11  15 1 1 1
     266  1  11  16 1 1 1
     267  1  11  17 1 1 1
     268  1  11  18 1 1 1
     269  1  11  19 1 1 1
     270  1  11  20 1 1 1
     271  1  11  21 1 1 1
     272  1  11  22 1 1 1
     273  1  11  23 1 1 1
     274  1  11  24 1 1 1
     275  1  11  25 1 1 1
     276  1  12  1 1 1 1
     277  1  12  2 1 1 1
     278  1  12  3 1 1 1
     279  1  12  4 1 1 1
     280  1  12  5 1 1 1
     281  1  12  6 1 1 1
     282  1  12  7 1 1 1
     283  1  12  8 1 1 1
     284  1  12  9 1 1 1
     285  1  12  10 1 1 1
     286  1  12  11 1 1 1
     287  1  12  12 1 1 1
     288  1  12  13 1 1 1
     289  1  12  14 1 1 1
     290  1  12  15 1 1 1
     291  1  12  16 1 1 1
     292  1  12  17 1 1 1
     293  1  12  18 1 1 1
     294  1  12  19 1 1 1
     295  1  12  20 1 1 1
     296  1  12  21 1 1 1
     297  1  12  22 1 1 1
     298  1  12  23 1 1 1
     299  1  12  24 1 1 1
