 >REASHP: option FROM_FILE
     26344 = NAT
  1.000000  0.000000  0.000000 = A_1 vector
  0.000000  1.000000  0.000000 = A_2 vector
  1.000000  1.000000  1.000000 = lattice spacings (d_x,d_y,d_z)/d
  -0.00000  -0.00000  -0.00000 = lattice offset x0(1-3) = (x_TF,y_TF,z_TF)/d for dipole 0 0 0
     JA  IX  IY  IZ ICOMP(x,y,z)
      1    1   13   17 1 1 1
      2    1   13   18 1 1 1
      3    1   13   19 1 1 1
      4    1   13   20 1 1 1
      5    1   14   15 1 1 1
      6    1   14   16 1 1 1
      7    1   14   17 1 1 1
      8    1   14   18 1 1 1
      9    1   14   19 1 1 1
     10    1   14   20 1 1 1
     11    1   14   21 1 1 1
     12    1   14   22 1 1 1
     13    1   15   14 1 1 1
     14    1   15   15 1 1 1
     15    1   15   16 1 1 1
     16    1   15   17 1 1 1
     17    1   15   18 1 1 1
     18    1   15   19 1 1 1
     19    1   15   20 1 1 1
     20    1   15   21 1 1 1
     21    1   15   22 1 1 1
     22    1   15   23 1 1 1
     23    1   16   14 1 1 1
     24    1   16   15 1 1 1
     25    1   16   16 1 1 1
     26    1   16   17 1 1 1
     27    1   16   18 1 1 1
     28    1   16   19 1 1 1
     29    1   16   20 1 1 1
     30    1   16   21 1 1 1
     31    1   16   22 1 1 1
     32    1   16   23 1 1 1
     33    1   17   13 1 1 1
     34    1   17   14 1 1 1
     35    1   17   15 1 1 1
     36    1   17   16 1 1 1
     37    1   17   17 1 1 1
     38    1   17   18 1 1 1
     39    1   17   19 1 1 1
     40    1   17   20 1 1 1
     41    1   17   21 1 1 1
     42    1   17   22 1 1 1
     43    1   17   23 1 1 1
     44    1   17   24 1 1 1
     45    1   18   13 1 1 1
     46    1   18   14 1 1 1
     47    1   18   15 1 1 1
     48    1   18   16 1 1 1
     49    1   18   17 1 1 1
     50    1   18   18 1 1 1
     51    1   18   19 1 1 1
     52    1   18   20 1 1 1
     53    1   18   21 1 1 1
     54    1   18   22 1 1 1
     55    1   18   23 1 1 1
     56    1   18   24 1 1 1
     57    1   19   13 1 1 1
     58    1   19   14 1 1 1
     59    1   19   15 1 1 1
     60    1   19   16 1 1 1
     61    1   19   17 1 1 1
     62    1   19   18 1 1 1
     63    1   19   19 1 1 1
     64    1   19   20 1 1 1
     65    1   19   21 1 1 1
     66    1   19   22 1 1 1
     67    1   19   23 1 1 1
     68    1   19   24 1 1 1
     69    1   20   13 1 1 1
     70    1   20   14 1 1 1
     71    1   20   15 1 1 1
     72    1   20   16 1 1 1
     73    1   20   17 1 1 1
     74    1   20   18 1 1 1
     75    1   20   19 1 1 1
     76    1   20   20 1 1 1
     77    1   20   21 1 1 1
     78    1   20   22 1 1 1
     79    1   20   23 1 1 1
     80    1   20   24 1 1 1
     81    1   21   14 1 1 1
     82    1   21   15 1 1 1
     83    1   21   16 1 1 1
     84    1   21   17 1 1 1
     85    1   21   18 1 1 1
     86    1   21   19 1 1 1
     87    1   21   20 1 1 1
     88    1   21   21 1 1 1
     89    1   21   22 1 1 1
     90    1   21   23 1 1 1
     91    1   22   14 1 1 1
     92    1   22   15 1 1 1
     93    1   22   16 1 1 1
     94    1   22   17 1 1 1
     95    1   22   18 1 1 1
     96    1   22   19 1 1 1
     97    1   22   20 1 1 1
     98    1   22   21 1 1 1
     99    1   22   22 1 1 1
    100    1   22   23 1 1 1
    101    1   23   15 1 1 1
    102    1   23   16 1 1 1
    103    1   23   17 1 1 1
    104    1   23   18 1 1 1
    105    1   23   19 1 1 1
    106    1   23   20 1 1 1
    107    1   23   21 1 1 1
    108    1   23   22 1 1 1
    109    1   24   17 1 1 1
    110    1   24   18 1 1 1
    111    1   24   19 1 1 1
    112    1   24   20 1 1 1
    113    2   11   15 1 1 1
    114    2   11   16 1 1 1
    115    2   11   17 1 1 1
    116    2   11   18 1 1 1
    117    2   11   19 1 1 1
    118    2   11   20 1 1 1
    119    2   11   21 1 1 1
    120    2   11   22 1 1 1
    121    2   12   14 1 1 1
    122    2   12   15 1 1 1
    123    2   12   16 1 1 1
    124    2   12   17 1 1 1
    125    2   12   18 1 1 1
    126    2   12   19 1 1 1
    127    2   12   20 1 1 1
    128    2   12   21 1 1 1
    129    2   12   22 1 1 1
    130    2   12   23 1 1 1
    131    2   13   13 1 1 1
    132    2   13   14 1 1 1
    133    2   13   15 1 1 1
    134    2   13   16 1 1 1
    135    2   13   17 1 1 1
    136    2   13   18 1 1 1
    137    2   13   19 1 1 1
    138    2   13   20 1 1 1
    139    2   13   21 1 1 1
    140    2   13   22 1 1 1
    141    2   13   23 1 1 1
    142    2   13   24 1 1 1
    143    2   14   12 1 1 1
    144    2   14   13 1 1 1
    145    2   14   14 1 1 1
    146    2   14   15 1 1 1
    147    2   14   16 1 1 1
    148    2   14   17 1 1 1
    149    2   14   18 1 1 1
    150    2   14   19 1 1 1
    151    2   14   20 1 1 1
    152    2   14   21 1 1 1
    153    2   14   22 1 1 1
    154    2   14   23 1 1 1
    155    2   14   24 1 1 1
    156    2   14   26 1 1 1
    157    2   15   11 1 1 1
    158    2   15   12 1 1 1
    159    2   15   13 1 1 1
    160    2   15   14 1 1 1
    161    2   15   15 1 1 1
    162    2   15   16 1 1 1
    163    2   15   17 1 1 1
    164    2   15   18 1 1 1
    165    2   15   19 1 1 1
    166    2   15   20 1 1 1
    167    2   15   21 1 1 1
    168    2   15   22 1 1 1
    169    2   15   23 1 1 1
    170    2   15   24 1 1 1
    171    2   15   26 1 1 1
    172    2   15   27 1 1 1
    173    2   16   11 1 1 1
    174    2   16   12 1 1 1
    175    2   16   13 1 1 1
    176    2   16   14 1 1 1
    177    2   16   15 1 1 1
    178    2   16   16 1 1 1
    179    2   16   17 1 1 1
    180    2   16   18 1 1 1
    181    2   16   19 1 1 1
    182    2   16   20 1 1 1
    183    2   16   21 1 1 1
    184    2   16   22 1 1 1
    185    2   16   23 1 1 1
    186    2   16   24 1 1 1
    187    2   16   26 1 1 1
    188    2   16   27 1 1 1
    189    2   17   11 1 1 1
    190    2   17   12 1 1 1
    191    2   17   13 1 1 1
    192    2   17   14 1 1 1
    193    2   17   15 1 1 1
    194    2   17   16 1 1 1
    195    2   17   17 1 1 1
    196    2   17   18 1 1 1
    197    2   17   19 1 1 1
    198    2   17   20 1 1 1
    199    2   17   21 1 1 1
    200    2   17   22 1 1 1
    201    2   17   23 1 1 1
    202    2   17   24 1 1 1
    203    2   17   26 1 1 1
    204    2   17   27 1 1 1
    205    2   18   11 1 1 1
    206    2   18   12 1 1 1
    207    2   18   13 1 1 1
    208    2   18   14 1 1 1
    209    2   18   15 1 1 1
    210    2   18   16 1 1 1
    211    2   18   17 1 1 1
    212    2   18   18 1 1 1
    213    2   18   19 1 1 1
    214    2   18   20 1 1 1
    215    2   18   21 1 1 1
    216    2   18   22 1 1 1
    217    2   18   23 1 1 1
    218    2   18   24 1 1 1
    219    2   18   26 1 1 1
    220    2   18   27 1 1 1
    221    2   19   11 1 1 1
    222    2   19   12 1 1 1
    223    2   19   13 1 1 1
    224    2   19   14 1 1 1
    225    2   19   15 1 1 1
    226    2   19   16 1 1 1
    227    2   19   17 1 1 1
    228    2   19   18 1 1 1
    229    2   19   19 1 1 1
    230    2   19   20 1 1 1
    231    2   19   21 1 1 1
    232    2   19   22 1 1 1
    233    2   19   23 1 1 1
    234    2   19   24 1 1 1
    235    2   19   26 1 1 1
    236    2   19   27 1 1 1
    237    2   20   11 1 1 1
    238    2   20   12 1 1 1
    239    2   20   13 1 1 1
    240    2   20   14 1 1 1
    241    2   20   15 1 1 1
    242    2   20   16 1 1 1
    243    2   20   17 1 1 1
    244    2   20   18 1 1 1
    245    2   20   19 1 1 1
    246    2   20   20 1 1 1
    247    2   20   21 1 1 1
    248    2   20   22 1 1 1
    249    2   20   23 1 1 1
    250    2   20   24 1 1 1
    251    2   20   26 1 1 1
    252    2   20   27 1 1 1
    253    2   21   11 1 1 1
    254    2   21   12 1 1 1
    255    2   21   13 1 1 1
    256    2   21   14 1 1 1
    257    2   21   15 1 1 1
    258    2   21   16 1 1 1
    259    2   21   17 1 1 1
