>GEOMETRY   sphere; AX,AY,AZ= 0.3474 0.3474 0.3474
     18656 = NAT 
  1.000000  0.000000  0.000000 = A_1 vector
  0.000000  1.000000  0.000000 = A_2 vector
  1.000000  1.000000  1.000000 = lattice spacings (d_x,d_y,d_z)/d
 -0.00000 -0.00000 -0.00000 = lattice offset x0(1-3) = (x_TF, y_TF, z_TF)/d for dipole 0 0 0
     JA  IX  IY  IZ ICOMP(x,y,z)
     199  2  17  15 1 1 1
     200  2  17  16 1 1 1
     201  2  17  17 1 1 1
     202  2  17  18 1 1 1
     203  2  17  19 1 1 1
     204  2  17  21 1 1 1
     205  2  17  22 1 1 1
     206  2  17  23 1 1 1
     207  2  17  24 1 1 1
     208  2  17  25 1 1 1
     209  2  18  9 1 1 1
     210  2  18  10 1 1 1
     211  2  18  11 1 1 1
     212  2  18  12 1 1 1
     213  2  18  13 1 1 1
     214  2  18  14 1 1 1
     215  2  18  15 1 1 1
     216  2  18  16 1 1 1
     217  2  18  17 1 1 1
     218  2  18  18 1 1 1
     219  2  18  19 1 1 1
     220  2  18  21 1 1 1
     221  2  18  22 1 1 1
     222  2  18  23 1 1 1
     223  2  18  24 1 1 1
     224  2  18  25 1 1 1
     225  2  19  10 1 1 1
     226  2  19  11 1 1 1
     227  2  19  12 1 1 1
     228  2  19  13 1 1 1
     229  2  19  14 1 1 1
     230  2  19  15 1 1 1
     231  2  19  16 1 1 1
     232  2  19  17 1 1 1
     233  2  19  18 1 1 1
     234  2  19  19 1 1 1
     235  2  19  21 1 1 1
     236  2  19  22 1 1 1
     237  2  19  23 1 1 1
     238  2  19  24 1 1 1
     239  2  21  10 1 1 1
     240  2  21  11 1 1 1
     241  2  21  12 1 1 1
     242  2  21  13 1 1 1
     243  2  21  14 1 1 1
     244  2  21  15 1 1 1
     245  2  21  16 1 1 1
     246  2  21  17 1 1 1
     247  2  21  18 1 1 1
     248  2  21  19 1 1 1
     249  2  21  21 1 1 1
     250  2  21  22 1 1 1
     251  2  21  23 1 1 1
     252  2  21  24 1 1 1
     253  2  22  11 1 1 1
     254  2  22  12 1 1 1
     255  2  22  13 1 1 1
     256  2  22  14 1 1 1
     257  2  22  15 1 1 1
     258  2  22  16 1 1 1
     259  2  22  17 1 1 1
     260  2  22  18 1 1 1
     261  2  22  19 1 1 1
     262  2  22  21 1 1 1
     263  2  22  22 1 1 1
     264  2  22  23 1 1 1
     265  2  23  11 1 1 1
     266  2  23  12 1 1 1
     267  2  23  13 1 1 1
     268  2  23  14 1 1 1
     269  2  23  15 1 1 1
     270  2  23  16 1 1 1
     271  2  23  17 1 1 1
     272  2  23  18 1 1 1
     273  2  23  19 1 1 1
     274  2  23  21 1 1 1
     275  2  23  22 1 1 1
     276  2  23  23 1 1 1
     277  2  24  13 1 1 1
     278  2  24  14 1 1 1
     279  2  24  15 1 1 1
     280  2  24  16 1 1 1
     281  2  24  17 1 1 1
     282  2  24  18 1 1 1
     283  2  24  19 1 1 1
     284  2  24  21 1 1 1
     285  2  25  15 1 1 1
     286  2  25  16 1 1 1
     287  2  25  17 1 1 1
     288  2  25  18 1 1 1
     289  3  8  13 1 1 1
     290  3  8  14 1 1 1
     291  3  8  15 1 1 1
     292  3  8  16 1 1 1
     293  3  8  17 1 1 1
     294  3  8  18 1 1 1
     295  3  8  19 1 1 1
     296  3  8  21 1 1 1
     297  3  9  11 1 1 1
     298  3  9  12 1 1 1
     299  3  9  13 1 1 1
     300  3  9  14 1 1 1
     301  3  9  15 1 1 1
     302  3  9  16 1 1 1
     303  3  9  17 1 1 1
     304  3  9  18 1 1 1
     305  3  9  19 1 1 1
     306  3  9  21 1 1 1
     307  3  9  22 1 1 1
     308  3  9  23 1 1 1
     309  3  10  10 1 1 1
     310  3  10  11 1 1 1
     311  3  10  12 1 1 1
     312  3  10  13 1 1 1
     313  3  10  14 1 1 1
     314  3  10  15 1 1 1
     315  3  10  16 1 1 1
     316  3  10  17 1 1 1
     317  3  10  18 1 1 1
     318  3  10  19 1 1 1
     319  3  10  21 1 1 1
     320  3  10  22 1 1 1
     321  3  10  23 1 1 1
     322  3  10  24 1 1 1
     323  3  11  9 1 1 1
     324  3  11  10 1 1 1
     325  3  11  11 1 1 1
     326  3  11  12 1 1 1
     327  3  11  13 1 1 1
     328  3  11  14 1 1 1
     329  3  11  15 1 1 1
     330  3  11  16 1 1 1
     331  3  11  17 1 1 1
     332  3  11  18 1 1 1
     333  3  11  19 1 1 1
     334  3  11  21 1 1 1
     335  3  11  22 1 1 1
     336  3  11  23 1 1 1
     337  3  11  24 1 1 1
     338  3  11  25 1 1 1
     339  3  12  9 1 1 1
     340  3  12  10 1 1 1
     341  3  12  11 1 1 1
     342  3  12  12 1 1 1
     343  3  12  13 1 1 1
     344  3  12  14 1 1 1
     345  3  12  15 1 1 1
     346  3  12  16 1 1 1
     347  3  12  17 1 1 1
     348  3  12  18 1 1 1
     349  3  12  19 1 1 1
     350  3  12  21 1 1 1
     351  3  12  22 1 1 1
     352  3  12  23 1 1 1
     353  3  12  24 1 1 1
     354  3  12  25 1 1 1
     355  3  13  8 1 1 1
     356  3  13  9 1 1 1
     357  3  13  10 1 1 1
     358  3  13  11 1 1 1
     359  3  13  12 1 1 1
     360  3  13  13 1 1 1
     361  3  13  14 1 1 1
     362  3  13  15 1 1 1
     363  3  13  16 1 1 1
     364  3  13  17 1 1 1
     365  3  13  18 1 1 1
     366  3  13  19 1 1 1
     367  3  13  21 1 1 1
     368  3  13  22 1 1 1
     369  3  13  23 1 1 1
     370  3  13  24 1 1 1
     371  3  13  25 1 1 1
     372  3  13  26 1 1 1
     373  3  14  8 1 1 1
     374  3  14  9 1 1 1
     375  3  14  10 1 1 1
     376  3  14  11 1 1 1
     377  3  14  12 1 1 1
     378  3  14  13 1 1 1
     379  3  14  14 1 1 1
     380  3  14  15 1 1 1
     381  3  14  16 1 1 1
     382  3  14  17 1 1 1
     383  3  14  18 1 1 1
     384  3  14  19 1 1 1
     385  3  14  21 1 1 1
     386  3  14  22 1 1 1
     387  3  14  23 1 1 1
     388  3  14  24 1 1 1
     389  3  14  25 1 1 1
     390  3  14  26 1 1 1
     391  3  15  8 1 1 1
     392  3  15  9 1 1 1
     393  3  15  10 1 1 1
     394  3  15  11 1 1 1
     395  3  15  12 1 1 1
     396  3  15  13 1 1 1
     397  3  15  14 1 1 1
     398  3  15  15 1 1 1
     399  3  15  16 1 1 1
     400  3  15  17 1 1 1
     401  3  15  18 1 1 1
     402  3  15  19 1 1 1
     403  3  15  21 1 1 1
     404  3  15  22 1 1 1
     405  3  15  23 1 1 1
     406  3  15  24 1 1 1
     407  3  15  25 1 1 1
     408  3  15  26 1 1 1
     409  3  16  8 1 1 1
     410  3  16  9 1 1 1
     411  3  16  10 1 1 1
     412  3  16  11 1 1 1
     413  3  16  12 1 1 1
     414  3  16  13 1 1 1
     415  3  16  14 1 1 1
     416  3  16  15 1 1 1
     417  3  16  16 1 1 1
     418  3  16  17 1 1 1
     419  3  16  18 1 1 1
     420  3  16  19 1 1 1
     421  3  16  21 1 1 1
     422  3  16  22 1 1 1
     423  3  16  23 1 1 1
     424  3  16  24 1 1 1
     425  3  16  25 1 1 1
     426  3  16  26 1 1 1
     427  3  17  8 1 1 1
     428  3  17  9 1 1 1
     429  3  17  10 1 1 1
     430  3  17  11 1 1 1
     431  3  17  12 1 1 1
     432  3  17  13 1 1 1
     433  3  17  14 1 1 1
     434  3  17  15 1 1 1
     435  3  17  16 1 1 1
     436  3  17  17 1 1 1
     437  3  17  18 1 1 1
     438  3  17  19 1 1 1
     439  3  17  21 1 1 1
     440  3  17  22 1 1 1
     441  3  17  23 1 1 1
     442  3  17  24 1 1 1
     443  3  17  25 1 1 1
     444  3  17  26 1 1 1
     445  3  18  8 1 1 1
     446  3  18  9 1 1 1
     447  3  18  10 1 1 1
     448  3  18  11 1 1 1
     449  3  18  12 1 1 1
     450  3  18  13 1 1 1
     451  3  18  14 1 1 1
     452  3  18  15 1 1 1
     453  3  18  16 1 1 1
     454  3  18  17 1 1 1
     455  3  18  18 1 1 1
     456  3  18  19 1 1 1
     457  3  18  21 1 1 1
     458  3  18  22 1 1 1
     459  3  18  23 1 1 1
     460  3  18  24 1 1 1
     461  3  18  25 1 1 1
     462  3  18  26 1 1 1
     463  3  19  8 1 1 1
     464  3  19  9 1 1 1
     465  3  19  10 1 1 1
     466  3  19  11 1 1 1
     467  3  19  12 1 1 1
     468  3  19  13 1 1 1
     469  3  19  14 1 1 1
     470  3  19  15 1 1 1
     471  3  19  16 1 1 1
     472  3  19  17 1 1 1
     473  3  19  18 1 1 1
     474  3  19  19 1 1 1
     475  3  19  21 1 1 1
     476  3  19  22 1 1 1
     477  3  19  23 1 1 1
     478  3  19  24 1 1 1
     479  3  19  25 1 1 1
     480  3  19  26 1 1 1
     481  3  21  8 1 1 1
     482  3  21  9 1 1 1
     483  3  21  10 1 1 1
     484  3  21  11 1 1 1
     485  3  21  12 1 1 1
     486  3  21  13 1 1 1
     487  3  21  14 1 1 1
     488  3  21  15 1 1 1
     489  3  21  16 1 1 1
     490  3  21  17 1 1 1
     491  3  21  18 1 1 1
     492  3  21  19 1 1 1
     493  3  21  21 1 1 1
     494  3  21  22 1 1 1
     495  3  21  23 1 1 1
     496  3  21  24 1 1 1
     497  3  21  25 1 1 1
     498  3  21  26 1 1 1
     499  3  22  9 1 1 1
     500  3  22  10 1 1 1
     501  3  22  11 1 1 1
     502  3  22  12 1 1 1
     503  3  22  13 1 1 1
     504  3  22  14 1 1 1
     505  3  22  15 1 1 1
     506  3  22  16 1 1 1
     507  3  22  17 1 1 1
     508  3  22  18 1 1 1
     509  3  22  19 1 1 1
     510  3  22  21 1 1 1
     511  3  22  22 1 1 1
     512  3  22  23 1 1 1
     513  3  22  24 1 1 1
     514  3  22  25 1 1 1
     515  3  23  9 1 1 1
     516  3  23  10 1 1 1
     517  3  23  11 1 1 1
     518  3  23  12 1 1 1
     519  3  23  13 1 1 1
     520  3  23  14 1 1 1
     521  3  23  15 1 1 1
     522  3  23  16 1 1 1
     523  3  23  17 1 1 1
     524  3  23  18 1 1 1
     525  3  23  19 1 1 1
     526  3  23  21 1 1 1
     527  3  23  22 1 1 1
     528  3  23  23 1 1 1
     529  3  23  24 1 1 1
     530  3  23  25 1 1 1
     531  3  24  10 1 1 1
     532  3  24  11 1 1 1
     533  3  24  12 1 1 1
     534  3  24  13 1 1 1
     535  3  24  14 1 1 1
     536  3  24  15 1 1 1
     537  3  24  16 1 1 1
     538  3  24  17 1 1 1
     539  3  24  18 1 1 1
     540  3  24  19 1 1 1
     541  3  24  21 1 1 1
     542  3  24  22 1 1 1
     543  3  24  23 1 1 1
     544  3  24  24 1 1 1
     545  3  25  11 1 1 1
     546  3  25  12 1 1 1
     547  3  25  13 1 1 1
     548  3  25  14 1 1 1
     549  3  25  15 1 1 1
     550  3  25  16 1 1 1
     551  3  25  17 1 1 1
     552  3  25  18 1 1 1
     553  3  25  19 1 1 1
     554  3  25  21 1 1 1
     555  3  25  22 1 1 1
     556  3  25  23 1 1 1
     557  3  26  13 1 1 1
     558  3  26  14 1 1 1
     559  3  26  15 1 1 1
     560  3  26  16 1 1 1
     561  3  26  17 1 1 1
     562  3  26  18 1 1 1
     563  3  26  19 1 1 1
     564  3  26  21 1 1 1
     565  4  6  15 1 1 1
     566  4  6  16 1 1 1
     567  4  6  17 1 1 1
     568  4  6  18 1 1 1
     569  4  7  12 1 1 1
     570  4  7  13 1 1 1
     571  4  7  14 1 1 1
     572  4  7  15 1 1 1
     573  4  7  16 1 1 1
     574  4  7  17 1 1 1
     575  4  7  18 1 1 1
     576  4  7  19 1 1 1
     577  4  7  21 1 1 1
     578  4  7  22 1 1 1
     579  4  8  10 1 1 1
     580  4  8  11 1 1 1
     581  4  8  12 1 1 1
     582  4  8  13 1 1 1
     583  4  8  14 1 1 1
     584  4  8  15 1 1 1
     585  4  8  16 1 1 1
     586  4  8  17 1 1 1
     587  4  8  18 1 1 1
     588  4  8  19 1 1 1
     589  4  8  21 1 1 1
     590  4  8  22 1 1 1
     591  4  8  23 1 1 1
     592  4  8  24 1 1 1
     593  4  9  9 1 1 1
     594  4  9  10 1 1 1
     595  4  9  11 1 1 1
     596  4  9  12 1 1 1
     597  4  9  13 1 1 1
     598  4  9  14 1 1 1
     599  4  9  15 1 1 1
     600  4  9  16 1 1 1
     601  4  9  17 1 1 1
     602  4  9  18 1 1 1
     603  4  9  19 1 1 1
     604  4  9  21 1 1 1
     605  4  9  22 1 1 1
     606  4  9  23 1 1 1
     607  4  9  24 1 1 1
     608  4  9  25 1 1 1
     609  4  10  8 1 1 1
     610  4  10  9 1 1 1
     611  4  10  10 1 1 1
     612  4  10  11 1 1 1
     613  4  10  12 1 1 1
     614  4  10  13 1 1 1
     615  4  10  14 1 1 1
     616  4  10  15 1 1 1
     617  4  10  16 1 1 1
     618  4  10  17 1 1 1
     619  4  10  18 1 1 1
     620  4  10  19 1 1 1
     621  4  10  21 1 1 1
     622  4  10  22 1 1 1
     623  4  10  23 1 1 1
     624  4  10  24 1 1 1
     625  4  10  25 1 1 1
     626  4  10  26 1 1 1
     627  4  11  8 1 1 1
     628  4  11  9 1 1 1
     629  4  11  10 1 1 1
     630  4  11  11 1 1 1
     631  4  11  12 1 1 1
     632  4  11  13 1 1 1
     633  4  11  14 1 1 1
     634  4  11  15 1 1 1
     635  4  11  16 1 1 1
     636  4  11  17 1 1 1
     637  4  11  18 1 1 1
     638  4  11  19 1 1 1
     639  4  11  21 1 1 1
     640  4  11  22 1 1 1
     641  4  11  23 1 1 1
     642  4  11  24 1 1 1
     643  4  11  25 1 1 1
     644  4  11  26 1 1 1
     645  4  12  7 1 1 1
     646  4  12  8 1 1 1
     647  4  12  9 1 1 1
     648  4  12  10 1 1 1
     649  4  12  11 1 1 1
     650  4  12  12 1 1 1
     651  4  12  13 1 1 1
     652  4  12  14 1 1 1
     653  4  12  15 1 1 1
     654  4  12  16 1 1 1
     655  4  12  17 1 1 1
     656  4  12  18 1 1 1
     657  4  12  19 1 1 1
     658  4  12  21 1 1 1
     659  4  12  22 1 1 1
     660  4  12  23 1 1 1
     661  4  12  24 1 1 1
     662  4  12  25 1 1 1
     663  4  12  26 1 1 1
     664  4  12  27 1 1 1
     665  4  13  7 1 1 1
     666  4  13  8 1 1 1
     667  4  13  9 1 1 1
     668  4  13  10 1 1 1
     669  4  13  11 1 1 1
     670  4  13  12 1 1 1
     671  4  13  13 1 1 1
     672  4  13  14 1 1 1
     673  4  13  15 1 1 1
     674  4  13  16 1 1 1
     675  4  13  17 1 1 1
     676  4  13  18 1 1 1
     677  4  13  19 1 1 1
     678  4  13  21 1 1 1
     679  4  13  22 1 1 1
     680  4  13  23 1 1 1
     681  4  13  24 1 1 1
