 >REASHP: option FROM_FILE
      2512 = NAT
  1.000000  0.000000  0.000000 = A_1 vector
  0.000000  1.000000  0.000000 = A_2 vector
  1.000000  1.000000  1.000000 = lattice spacings (d_x,d_y,d_z)/d
  -0.00000  -0.00000  -0.00000 = lattice offset x0(1-3) = (x_TF,y_TF,z_TF)/d for dipole 0 0 0
     JA  IX  IY  IZ ICOMP(x,y,z)
      1    1    5    7 1 1 1
      2    1    5    8 1 1 1
      3    1    5    9 1 1 1
      4    1    5   10 1 1 1
      5    1    6    6 1 1 1
      6    1    6    7 1 1 1
      7    1    6    8 1 1 1
      8    1    6    9 1 1 1
      9    1    6   10 1 1 1
     10    1    6   12 1 1 1
     11    1    7    5 1 1 1
     12    1    7    6 1 1 1
     13    1    7    7 1 1 1
     14    1    7    8 1 1 1
     15    1    7    9 1 1 1
     16    1    7   10 1 1 1
     17    1    7   12 1 1 1
     18    1    7   13 1 1 1
     19    1    8    5 1 1 1
     20    1    8    6 1 1 1
     21    1    8    7 1 1 1
     22    1    8    8 1 1 1
     23    1    8    9 1 1 1
     24    1    8   10 1 1 1
     25    1    8   12 1 1 1
     26    1    8   13 1 1 1
     27    1    9    5 1 1 1
     28    1    9    6 1 1 1
     29    1    9    7 1 1 1
     30    1    9    8 1 1 1
     31    1    9    9 1 1 1
     32    1    9   10 1 1 1
     33    1    9   12 1 1 1
     34    1    9   13 1 1 1
     35    1   10    5 1 1 1
     36    1   10    6 1 1 1
     37    1   10    7 1 1 1
     38    1   10    8 1 1 1
     39    1   10    9 1 1 1
     40    1   10   10 1 1 1
     41    1   10   12 1 1 1
     42    1   10   13 1 1 1
     43    1   12    6 1 1 1
     44    1   12    7 1 1 1
     45    1   12    8 1 1 1
     46    1   12    9 1 1 1
     47    1   12   10 1 1 1
     48    1   12   12 1 1 1
     49    1   13    7 1 1 1
     50    1   13    8 1 1 1
     51    1   13    9 1 1 1
     52    1   13   10 1 1 1
     53    2    4    6 1 1 1
     54    2    4    7 1 1 1
     55    2    4    8 1 1 1
     56    2    4    9 1 1 1
     57    2    4   10 1 1 1
     58    2    4   12 1 1 1
     59    2    5    5 1 1 1
     60    2    5    6 1 1 1
     61    2    5    7 1 1 1
     62    2    5    8 1 1 1
     63    2    5    9 1 1 1
     64    2    5   10 1 1 1
     65    2    5   12 1 1 1
     66    2    5   13 1 1 1
     67    2    6    4 1 1 1
     68    2    6    5 1 1 1
     69    2    6    6 1 1 1
     70    2    6    7 1 1 1
     71    2    6    8 1 1 1
     72    2    6    9 1 1 1
     73    2    6   10 1 1 1
     74    2    6   12 1 1 1
     75    2    6   13 1 1 1
     76    2    6   14 1 1 1
     77    2    7    4 1 1 1
     78    2    7    5 1 1 1
     79    2    7    6 1 1 1
     80    2    7    7 1 1 1
     81    2    7    8 1 1 1
     82    2    7    9 1 1 1
     83    2    7   10 1 1 1
     84    2    7   12 1 1 1
     85    2    7   13 1 1 1
     86    2    7   14 1 1 1
     87    2    8    4 1 1 1
     88    2    8    5 1 1 1
     89    2    8    6 1 1 1
     90    2    8    7 1 1 1
     91    2    8    8 1 1 1
     92    2    8    9 1 1 1
     93    2    8   10 1 1 1
     94    2    8   12 1 1 1
     95    2    8   13 1 1 1
     96    2    8   14 1 1 1
     97    2    9    4 1 1 1
     98    2    9    5 1 1 1
     99    2    9    6 1 1 1
    100    2    9    7 1 1 1
    101    2    9    8 1 1 1
    102    2    9    9 1 1 1
    103    2    9   10 1 1 1
    104    2    9   12 1 1 1
    105    2    9   13 1 1 1
    106    2    9   14 1 1 1
    107    2   10    4 1 1 1
    108    2   10    5 1 1 1
    109    2   10    6 1 1 1
    110    2   10    7 1 1 1
    111    2   10    8 1 1 1
    112    2   10    9 1 1 1
    113    2   10   10 1 1 1
    114    2   10   12 1 1 1
    115    2   10   13 1 1 1
    116    2   10   14 1 1 1
    117    2   12    4 1 1 1
    118    2   12    5 1 1 1
    119    2   12    6 1 1 1
    120    2   12    7 1 1 1
    121    2   12    8 1 1 1
    122    2   12    9 1 1 1
    123    2   12   10 1 1 1
    124    2   12   12 1 1 1
    125    2   12   13 1 1 1
    126    2   12   14 1 1 1
    127    2   13    5 1 1 1
    128    2   13    6 1 1 1
    129    2   13    7 1 1 1
    130    2   13    8 1 1 1
    131    2   13    9 1 1 1
    132    2   13   10 1 1 1
    133    2   13   12 1 1 1
    134    2   13   13 1 1 1
    135    2   14    6 1 1 1
    136    2   14    7 1 1 1
    137    2   14    8 1 1 1
    138    2   14    9 1 1 1
    139    2   14   10 1 1 1
    140    2   14   12 1 1 1
    141    3    3    6 1 1 1
    142    3    3    7 1 1 1
    143    3    3    8 1 1 1
    144    3    3    9 1 1 1
    145    3    3   10 1 1 1
    146    3    3   12 1 1 1
    147    3    4    4 1 1 1
    148    3    4    5 1 1 1
    149    3    4    6 1 1 1
    150    3    4    7 1 1 1
    151    3    4    8 1 1 1
    152    3    4    9 1 1 1
    153    3    4   10 1 1 1
    154    3    4   12 1 1 1
    155    3    4   13 1 1 1
    156    3    4   14 1 1 1
    157    3    5    4 1 1 1
    158    3    5    5 1 1 1
    159    3    5    6 1 1 1
    160    3    5    7 1 1 1
    161    3    5    8 1 1 1
    162    3    5    9 1 1 1
    163    3    5   10 1 1 1
    164    3    5   12 1 1 1
    165    3    5   13 1 1 1
    166    3    5   14 1 1 1
    167    3    6    3 1 1 1
    168    3    6    4 1 1 1
    169    3    6    5 1 1 1
    170    3    6    6 1 1 1
    171    3    6    7 1 1 1
    172    3    6    8 1 1 1
    173    3    6    9 1 1 1
    174    3    6   10 1 1 1
    175    3    6   12 1 1 1
    176    3    6   13 1 1 1
