>GEOMETRY   sphere; AX,AY,AZ= 0.2000 0.2000 0.2000
     3544 = NAT 
  1.000000  0.000000  0.000000 = A_1 vector
  0.000000  1.000000  0.000000 = A_2 vector
  1.000000  1.000000  1.000000 = lattice spacings (d_x,d_y,d_z)/d
 -0.00000 -0.00000 -0.00000 = lattice offset x0(1-3) = (x_TF, y_TF, z_TF)/d for dipole 0 0 0
     JA  IX  IY  IZ ICOMP(x,y,z)
     574  5  7  15 1 1 1
     575  5  7  16 1 1 1
     576  5  7  17 1 1 1
     577  5  8  2 1 1 1
     578  5  8  3 1 1 1
     579  5  8  4 1 1 1
     580  5  8  5 1 1 1
     581  5  8  6 1 1 1
     582  5  8  7 1 1 1
     583  5  8  8 1 1 1
     584  5  8  9 1 1 1
     585  5  8  10 1 1 1
     586  5  8  11 1 1 1
     587  5  8  12 1 1 1
     588  5  8  13 1 1 1
     589  5  8  14 1 1 1
     590  5  8  15 1 1 1
     591  5  8  16 1 1 1
     592  5  8  17 1 1 1
     593  5  9  2 1 1 1
     594  5  9  3 1 1 1
     595  5  9  4 1 1 1
     596  5  9  5 1 1 1
     597  5  9  6 1 1 1
     598  5  9  7 1 1 1
     599  5  9  8 1 1 1
     600  5  9  9 1 1 1
     601  5  9  10 1 1 1
     602  5  9  11 1 1 1
     603  5  9  12 1 1 1
     604  5  9  13 1 1 1
     605  5  9  14 1 1 1
     606  5  9  15 1 1 1
     607  5  9  16 1 1 1
     608  5  9  17 1 1 1
     609  5  10  2 1 1 1
     610  5  10  3 1 1 1
     611  5  10  4 1 1 1
     612  5  10  5 1 1 1
     613  5  10  6 1 1 1
     614  5  10  7 1 1 1
     615  5  10  8 1 1 1
     616  5  10  9 1 1 1
     617  5  10  10 1 1 1
     618  5  10  11 1 1 1
     619  5  10  12 1 1 1
     620  5  10  13 1 1 1
     621  5  10  14 1 1 1
     622  5  10  15 1 1 1
     623  5  10  16 1 1 1
     624  5  10  17 1 1 1
     625  5  11  2 1 1 1
     626  5  11  3 1 1 1
     627  5  11  4 1 1 1
     628  5  11  5 1 1 1
     629  5  11  6 1 1 1
     630  5  11  7 1 1 1
     631  5  11  8 1 1 1
     632  5  11  9 1 1 1
     633  5  11  10 1 1 1
     634  5  11  11 1 1 1
     635  5  11  12 1 1 1
     636  5  11  13 1 1 1
     637  5  11  14 1 1 1
     638  5  11  15 1 1 1
     639  5  11  16 1 1 1
     640  5  11  17 1 1 1
     641  5  12  2 1 1 1
     642  5  12  3 1 1 1
     643  5  12  4 1 1 1
     644  5  12  5 1 1 1
     645  5  12  6 1 1 1
     646  5  12  7 1 1 1
     647  5  12  8 1 1 1
     648  5  12  9 1 1 1
     649  5  12  10 1 1 1
     650  5  12  11 1 1 1
     651  5  12  12 1 1 1
     652  5  12  13 1 1 1
     653  5  12  14 1 1 1
     654  5  12  15 1 1 1
     655  5  12  16 1 1 1
     656  5  12  17 1 1 1
     657  5  13  2 1 1 1
     658  5  13  3 1 1 1
     659  5  13  4 1 1 1
     660  5  13  5 1 1 1
     661  5  13  6 1 1 1
     662  5  13  7 1 1 1
     663  5  13  8 1 1 1
     664  5  13  9 1 1 1
     665  5  13  10 1 1 1
     666  5  13  11 1 1 1
     667  5  13  12 1 1 1
     668  5  13  13 1 1 1
     669  5  13  14 1 1 1
     670  5  13  15 1 1 1
     671  5  13  16 1 1 1
     672  5  13  17 1 1 1
     673  5  14  3 1 1 1
     674  5  14  4 1 1 1
     675  5  14  5 1 1 1
     676  5  14  6 1 1 1
     677  5  14  7 1 1 1
     678  5  14  8 1 1 1
     679  5  14  9 1 1 1
     680  5  14  10 1 1 1
     681  5  14  11 1 1 1
     682  5  14  12 1 1 1
     683  5  14  13 1 1 1
     684  5  14  14 1 1 1
     685  5  14  15 1 1 1
     686  5  14  16 1 1 1
     687  5  15  4 1 1 1
     688  5  15  5 1 1 1
     689  5  15  6 1 1 1
     690  5  15  7 1 1 1
     691  5  15  8 1 1 1
     692  5  15  9 1 1 1
     693  5  15  10 1 1 1
     694  5  15  11 1 1 1
     695  5  15  12 1 1 1
     696  5  15  13 1 1 1
     697  5  15  14 1 1 1
     698  5  15  15 1 1 1
     699  5  16  5 1 1 1
     700  5  16  6 1 1 1
     701  5  16  7 1 1 1
     702  5  16  8 1 1 1
     703  5  16  9 1 1 1
     704  5  16  10 1 1 1
     705  5  16  11 1 1 1
     706  5  16  12 1 1 1
     707  5  16  13 1 1 1
     708  5  16  14 1 1 1
     709  5  17  6 1 1 1
     710  5  17  7 1 1 1
     711  5  17  8 1 1 1
     712  5  17  9 1 1 1
     713  5  17  10 1 1 1
     714  5  17  11 1 1 1
     715  5  17  12 1 1 1
     716  5  17  13 1 1 1
     717  6  1  8 1 1 1
     718  6  1  9 1 1 1
     719  6  1  10 1 1 1
     720  6  1  11 1 1 1
     721  6  2  5 1 1 1
     722  6  2  6 1 1 1
     723  6  2  7 1 1 1
     724  6  2  8 1 1 1
     725  6  2  9 1 1 1
     726  6  2  10 1 1 1
     727  6  2  11 1 1 1
     728  6  2  12 1 1 1
     729  6  2  13 1 1 1
     730  6  2  14 1 1 1
     731  6  3  4 1 1 1
     732  6  3  5 1 1 1
     733  6  3  6 1 1 1
     734  6  3  7 1 1 1
     735  6  3  8 1 1 1
     736  6  3  9 1 1 1
     737  6  3  10 1 1 1
     738  6  3  11 1 1 1
     739  6  3  12 1 1 1
     740  6  3  13 1 1 1
     741  6  3  14 1 1 1
     742  6  3  15 1 1 1
     743  6  4  3 1 1 1
     744  6  4  4 1 1 1
     745  6  4  5 1 1 1
     746  6  4  6 1 1 1
     747  6  4  7 1 1 1
     748  6  4  8 1 1 1
     749  6  4  9 1 1 1
     750  6  4  10 1 1 1
     751  6  4  11 1 1 1
     752  6  4  12 1 1 1
     753  6  4  13 1 1 1
     754  6  4  14 1 1 1
     755  6  4  15 1 1 1
     756  6  4  16 1 1 1
     757  6  5  2 1 1 1
     758  6  5  3 1 1 1
     759  6  5  4 1 1 1
     760  6  5  5 1 1 1
     761  6  5  6 1 1 1
     762  6  5  7 1 1 1
     763  6  5  8 1 1 1
     764  6  5  9 1 1 1
     765  6  5  10 1 1 1
     766  6  5  11 1 1 1
     767  6  5  12 1 1 1
     768  6  5  13 1 1 1
     769  6  5  14 1 1 1
     770  6  5  15 1 1 1
     771  6  5  16 1 1 1
     772  6  5  17 1 1 1
     773  6  6  2 1 1 1
     774  6  6  3 1 1 1
     775  6  6  4 1 1 1
     776  6  6  5 1 1 1
     777  6  6  6 1 1 1
     778  6  6  7 1 1 1
     779  6  6  8 1 1 1
     780  6  6  9 1 1 1
     781  6  6  10 1 1 1
     782  6  6  11 1 1 1
     783  6  6  12 1 1 1
     784  6  6  13 1 1 1
     785  6  6  14 1 1 1
     786  6  6  15 1 1 1
     787  6  6  16 1 1 1
     788  6  6  17 1 1 1
     789  6  7  2 1 1 1
     790  6  7  3 1 1 1
     791  6  7  4 1 1 1
     792  6  7  5 1 1 1
     793  6  7  6 1 1 1
     794  6  7  7 1 1 1
     795  6  7  8 1 1 1
     796  6  7  9 1 1 1
     797  6  7  10 1 1 1
     798  6  7  11 1 1 1
     799  6  7  12 1 1 1
     800  6  7  13 1 1 1
     801  6  7  14 1 1 1
     802  6  7  15 1 1 1
     803  6  7  16 1 1 1
     804  6  7  17 1 1 1
     805  6  8  1 1 1 1
     806  6  8  2 1 1 1
     807  6  8  3 1 1 1
     808  6  8  4 1 1 1
     809  6  8  5 1 1 1
     810  6  8  6 1 1 1
     811  6  8  7 1 1 1
     812  6  8  8 1 1 1
     813  6  8  9 1 1 1
     814  6  8  10 1 1 1
     815  6  8  11 1 1 1
     816  6  8  12 1 1 1
     817  6  8  13 1 1 1
     818  6  8  14 1 1 1
     819  6  8  15 1 1 1
     820  6  8  16 1 1 1
     821  6  8  17 1 1 1
     822  6  8  18 1 1 1
     823  6  9  1 1 1 1
     824  6  9  2 1 1 1
     825  6  9  3 1 1 1
     826  6  9  4 1 1 1
     827  6  9  5 1 1 1
     828  6  9  6 1 1 1
     829  6  9  7 1 1 1
     830  6  9  8 1 1 1
     831  6  9  9 1 1 1
     832  6  9  10 1 1 1
     833  6  9  11 1 1 1
     834  6  9  12 1 1 1
     835  6  9  13 1 1 1
     836  6  9  14 1 1 1
     837  6  9  15 1 1 1
     838  6  9  16 1 1 1
     839  6  9  17 1 1 1
     840  6  9  18 1 1 1
     841  6  10  1 1 1 1
     842  6  10  2 1 1 1
     843  6  10  3 1 1 1
     844  6  10  4 1 1 1
     845  6  10  5 1 1 1
     846  6  10  6 1 1 1
     847  6  10  7 1 1 1
     848  6  10  8 1 1 1
     849  6  10  9 1 1 1
     850  6  10  10 1 1 1
     851  6  10  11 1 1 1
     852  6  10  12 1 1 1
     853  6  10  13 1 1 1
     854  6  10  14 1 1 1
     855  6  10  15 1 1 1
     856  6  10  16 1 1 1
     857  6  10  17 1 1 1
     858  6  10  18 1 1 1
     859  6  11  1 1 1 1
     860  6  11  2 1 1 1
