 >TARREC   rectangular prism; AX,AY,AZ= 16.0000 16.0000 16.0000
      4096 = NAT 
  1.000000  0.000000  0.000000 = A_1 vector
  0.000000  1.000000  0.000000 = A_2 vector
  1.000000  1.000000  1.000000 = lattice spacings (d_x,d_y,d_z)/d
 -16.50000  -8.50000  -8.50000 = lattice offset x0(1-3) = (x_TF,y_TF,z_TF)/d for dipole 0 0 0
     JA  IX  IY  IZ ICOMP(x,y,z)
    199   7  13   1 1 1 1
    200   8  13   1 1 1 1
    201   9  13   1 1 1 1
    202  10  13   1 1 1 1
    203  11  13   1 1 1 1
    204  12  13   1 1 1 1
    205  13  13   1 1 1 1
    206  14  13   1 1 1 1
    207  15  13   1 1 1 1
    208  16  13   1 1 1 1
    209   1  14   1 1 1 1
    210   2  14   1 1 1 1
    211   3  14   1 1 1 1
    212   4  14   1 1 1 1
    213   5  14   1 1 1 1
    214   6  14   1 1 1 1
    215   7  14   1 1 1 1
    216   8  14   1 1 1 1
    217   9  14   1 1 1 1
    218  10  14   1 1 1 1
    219  11  14   1 1 1 1
    220  12  14   1 1 1 1
    221  13  14   1 1 1 1
    222  14  14   1 1 1 1
    223  15  14   1 1 1 1
    224  16  14   1 1 1 1
    225   1  15   1 1 1 1
    226   2  15   1 1 1 1
    227   3  15   1 1 1 1
    228   4  15   1 1 1 1
    229   5  15   1 1 1 1
    230   6  15   1 1 1 1
    231   7  15   1 1 1 1
    232   8  15   1 1 1 1
    233   9  15   1 1 1 1
    234  10  15   1 1 1 1
    235  11  15   1 1 1 1
    236  12  15   1 1 1 1
    237  13  15   1 1 1 1
    238  14  15   1 1 1 1
    239  15  15   1 1 1 1
    240  16  15   1 1 1 1
    241   1  16   1 1 1 1
    242   2  16   1 1 1 1
    243   3  16   1 1 1 1
    244   4  16   1 1 1 1
    245   5  16   1 1 1 1
    246   6  16   1 1 1 1
    247   7  16   1 1 1 1
    248   8  16   1 1 1 1
    249   9  16   1 1 1 1
    250  10  16   1 1 1 1
    251  11  16   1 1 1 1
    252  12  16   1 1 1 1
    253  13  16   1 1 1 1
    254  14  16   1 1 1 1
    255  15  16   1 1 1 1
    256  16  16   1 1 1 1
    257   1   1   2 1 1 1
    258   2   1   2 1 1 1
    259   3   1   2 1 1 1
    260   4   1   2 1 1 1
    261   5   1   2 1 1 1
    262   6   1   2 1 1 1
    263   7   1   2 1 1 1
    264   8   1   2 1 1 1
    265   9   1   2 1 1 1
    266  10   1   2 1 1 1
    267  11   1   2 1 1 1
    268  12   1   2 1 1 1
    269  13   1   2 1 1 1
    270  14   1   2 1 1 1
    271  15   1   2 1 1 1
    272  16   1   2 1 1 1
    273   1   2   2 1 1 1
    274   2   2   2 1 1 1
    275   3   2   2 1 1 1
    276   4   2   2 1 1 1
    277   5   2   2 1 1 1
    278   6   2   2 1 1 1
    279   7   2   2 1 1 1
    280   8   2   2 1 1 1
    281   9   2   2 1 1 1
    282  10   2   2 1 1 1
    283  11   2   2 1 1 1
    284  12   2   2 1 1 1
    285  13   2   2 1 1 1
    286  14   2   2 1 1 1
    287  15   2   2 1 1 1
    288  16   2   2 1 1 1
    289   1   3   2 1 1 1
    290   2   3   2 1 1 1
    291   3   3   2 1 1 1
    292   4   3   2 1 1 1
    293   5   3   2 1 1 1
    294   6   3   2 1 1 1
    295   7   3   2 1 1 1
    296   8   3   2 1 1 1
    297   9   3   2 1 1 1
    298  10   3   2 1 1 1
    299  11   3   2 1 1 1
    300  12   3   2 1 1 1
    301  13   3   2 1 1 1
    302  14   3   2 1 1 1
    303  15   3   2 1 1 1
    304  16   3   2 1 1 1
    305   1   4   2 1 1 1
    306   2   4   2 1 1 1
    307   3   4   2 1 1 1
    308   4   4   2 1 1 1
    309   5   4   2 1 1 1
    310   6   4   2 1 1 1
    311   7   4   2 1 1 1
    312   8   4   2 1 1 1
    313   9   4   2 1 1 1
    314  10   4   2 1 1 1
    315  11   4   2 1 1 1
    316  12   4   2 1 1 1
    317  13   4   2 1 1 1
    318  14   4   2 1 1 1
    319  15   4   2 1 1 1
    320  16   4   2 1 1 1
    321   1   5   2 1 1 1
    322   2   5   2 1 1 1
    323   3   5   2 1 1 1
    324   4   5   2 1 1 1
    325   5   5   2 1 1 1
    326   6   5   2 1 1 1
    327   7   5   2 1 1 1
    328   8   5   2 1 1 1
    329   9   5   2 1 1 1
    330  10   5   2 1 1 1
    331  11   5   2 1 1 1
    332  12   5   2 1 1 1
    333  13   5   2 1 1 1
    334  14   5   2 1 1 1
    335  15   5   2 1 1 1
    336  16   5   2 1 1 1
    337   1   6   2 1 1 1
    338   2   6   2 1 1 1
    339   3   6   2 1 1 1
    340   4   6   2 1 1 1
    341   5   6   2 1 1 1
    342   6   6   2 1 1 1
    343   7   6   2 1 1 1
    344   8   6   2 1 1 1
    345   9   6   2 1 1 1
    346  10   6   2 1 1 1
    347  11   6   2 1 1 1
    348  12   6   2 1 1 1
    349  13   6   2 1 1 1
    350  14   6   2 1 1 1
    351  15   6   2 1 1 1
    352  16   6   2 1 1 1
    353   1   7   2 1 1 1
    354   2   7   2 1 1 1
    355   3   7   2 1 1 1
    356   4   7   2 1 1 1
    357   5   7   2 1 1 1
    358   6   7   2 1 1 1
    359   7   7   2 1 1 1
    360   8   7   2 1 1 1
    361   9   7   2 1 1 1
    362  10   7   2 1 1 1
    363  11   7   2 1 1 1
    364  12   7   2 1 1 1
    365  13   7   2 1 1 1
    366  14   7   2 1 1 1
    367  15   7   2 1 1 1
    368  16   7   2 1 1 1
    369   1   8   2 1 1 1
    370   2   8   2 1 1 1
    371   3   8   2 1 1 1
    372   4   8   2 1 1 1
    373   5   8   2 1 1 1
    374   6   8   2 1 1 1
    375   7   8   2 1 1 1
    376   8   8   2 1 1 1
    377   9   8   2 1 1 1
    378  10   8   2 1 1 1
    379  11   8   2 1 1 1
    380  12   8   2 1 1 1
    381  13   8   2 1 1 1
    382  14   8   2 1 1 1
    383  15   8   2 1 1 1
    384  16   8   2 1 1 1
    385   1   9   2 1 1 1
    386   2   9   2 1 1 1
    387   3   9   2 1 1 1
    388   4   9   2 1 1 1
    389   5   9   2 1 1 1
    390   6   9   2 1 1 1
    391   7   9   2 1 1 1
    392   8   9   2 1 1 1
    393   9   9   2 1 1 1
    394  10   9   2 1 1 1
    395  11   9   2 1 1 1
    396  12   9   2 1 1 1
    397  13   9   2 1 1 1
    398  14   9   2 1 1 1
    399  15   9   2 1 1 1
    400  16   9   2 1 1 1
    401   1  10   2 1 1 1
    402   2  10   2 1 1 1
    403   3  10   2 1 1 1
    404   4  10   2 1 1 1
    405   5  10   2 1 1 1
    406   6  10   2 1 1 1
    407   7  10   2 1 1 1
    408   8  10   2 1 1 1
    409   9  10   2 1 1 1
    410  10  10   2 1 1 1
    411  11  10   2 1 1 1
    412  12  10   2 1 1 1
    413  13  10   2 1 1 1
    414  14  10   2 1 1 1
    415  15  10   2 1 1 1
    416  16  10   2 1 1 1
    417   1  11   2 1 1 1
    418   2  11   2 1 1 1
    419   3  11   2 1 1 1
    420   4  11   2 1 1 1
    421   5  11   2 1 1 1
    422   6  11   2 1 1 1
    423   7  11   2 1 1 1
    424   8  11   2 1 1 1
    425   9  11   2 1 1 1
    426  10  11   2 1 1 1
    427  11  11   2 1 1 1
    428  12  11   2 1 1 1
    429  13  11   2 1 1 1
    430  14  11   2 1 1 1
    431  15  11   2 1 1 1
    432  16  11   2 1 1 1
    433   1  12   2 1 1 1
    434   2  12   2 1 1 1
    435   3  12   2 1 1 1
    436   4  12   2 1 1 1
    437   5  12   2 1 1 1
    438   6  12   2 1 1 1
    439   7  12   2 1 1 1
    440   8  12   2 1 1 1
    441   9  12   2 1 1 1
    442  10  12   2 1 1 1
    443  11  12   2 1 1 1
    444  12  12   2 1 1 1
    445  13  12   2 1 1 1
    446  14  12   2 1 1 1
    447  15  12   2 1 1 1
    448  16  12   2 1 1 1
    449   1  13   2 1 1 1
    450   2  13   2 1 1 1
    451   3  13   2 1 1 1
    452   4  13   2 1 1 1
    453   5  13   2 1 1 1
    454   6  13   2 1 1 1
    455   7  13   2 1 1 1
    456   8  13   2 1 1 1
    457   9  13   2 1 1 1
    458  10  13   2 1 1 1
    459  11  13   2 1 1 1
    460  12  13   2 1 1 1
    461  13  13   2 1 1 1
    462  14  13   2 1 1 1
    463  15  13   2 1 1 1
    464  16  13   2 1 1 1
    465   1  14   2 1 1 1
    466   2  14   2 1 1 1
    467   3  14   2 1 1 1
    468   4  14   2 1 1 1
    469   5  14   2 1 1 1
    470   6  14   2 1 1 1
    471   7  14   2 1 1 1
    472   8  14   2 1 1 1
    473   9  14   2 1 1 1
    474  10  14   2 1 1 1
    475  11  14   2 1 1 1
    476  12  14   2 1 1 1
    477  13  14   2 1 1 1
    478  14  14   2 1 1 1
    479  15  14   2 1 1 1
    480  16  14   2 1 1 1
    481   1  15   2 1 1 1
    482   2  15   2 1 1 1
    483   3  15   2 1 1 1
    484   4  15   2 1 1 1
    485   5  15   2 1 1 1
    486   6  15   2 1 1 1
    487   7  15   2 1 1 1
