 >REASHP: option FROM_FILE
       663 = NAT
  1.000000  0.000000  0.000000 = A_1 vector
  0.000000  1.000000  0.000000 = A_2 vector
  1.000000  1.000000  1.000000 = lattice spacings (d_x,d_y,d_z)/d
  -5.00000  -5.00000  -5.00000 = lattice offset x0(1-3) = (x_TF,y_TF,z_TF)/d for dipole 0 0 0
     JA  IX  IY  IZ ICOMP(x,y,z)
      1   -4   -4   -2 1 1 1
      2   -4   -3   -2 1 1 1
      3   -4   -3   -1 1 1 1
      4   -4   -3    1 1 1 1
      5   -4   -3    4 1 1 1
      6   -4   -3    5 1 1 1
      7   -4   -2   -3 1 1 1
      8   -4   -2   -2 1 1 1
      9   -4   -2    2 1 1 1
     10   -4   -2    5 1 1 1
     11   -4   -1   -2 1 1 1
     12   -4   -1    0 1 1 1
     13   -4    0   -2 1 1 1
     14   -4    0    1 1 1 1
     15   -4    0    3 1 1 1
     16   -4    1   -3 1 1 1
     17   -4    1   -2 1 1 1
     18   -4    1   -1 1 1 1
     19   -4    1    0 1 1 1
     20   -4    1    1 1 1 1
     21   -4    1    3 1 1 1
     22   -4    1    4 1 1 1
     23   -4    2   -2 1 1 1
     24   -4    2   -1 1 1 1
     25   -4    2    3 1 1 1
     26   -4    3   -4 1 1 1
     27   -4    3   -1 1 1 1
     28   -4    3    0 1 1 1
     29   -4    3    4 1 1 1
     30   -4    4   -4 1 1 1
     31   -4    4   -2 1 1 1
     32   -4    4    0 1 1 1
     33   -4    4    1 1 1 1
     34   -4    5   -4 1 1 1
     35   -4    5   -1 1 1 1
     36   -4    5    0 1 1 1
     37   -4    5    2 1 1 1
     38   -4    6   -3 1 1 1
     39   -4    6   -1 1 1 1
     40   -3   -4   -4 1 1 1
     41   -3   -4   -3 1 1 1
     42   -3   -4    5 1 1 1
     43   -3   -3    0 1 1 1
     44   -3   -3    2 1 1 1
     45   -3   -3    4 1 1 1
     46   -3   -3    5 1 1 1
     47   -3   -2   -2 1 1 1
     48   -3   -2   -1 1 1 1
