>GEOMETRY   sphere; AX,AY,AZ= 0.0838 0.0838 0.0838
     160 = NAT 
  1.000000  0.000000  0.000000 = A_1 vector
  0.000000  1.000000  0.000000 = A_2 vector
  1.000000  1.000000  1.000000 = lattice spacings (d_x,d_y,d_z)/d
 -0.00000 -0.00000 -0.00000 = lattice offset x0(1-3) = (x_TF, y_TF, z_TF)/d for dipole 0 0 0
     JA  IX  IY  IZ ICOMP(x,y,z)
     1  1  2  2 1 1 1
     2  1  2  3 1 1 1
     3  1  2  4 1 1 1
     4  1  2  5 1 1 1
     5  1  3  2 1 1 1
     6  1  3  3 1 1 1
     7  1  3  4 1 1 1
     8  1  3  5 1 1 1
     9  1  4  2 1 1 1
     10  1  4  3 1 1 1
     11  1  4  4 1 1 1
     12  1  4  5 1 1 1
     13  1  5  2 1 1 1
     14  1  5  3 1 1 1
     15  1  5  4 1 1 1
     16  1  5  5 1 1 1
     17  2  1  2 1 1 1
     18  2  1  3 1 1 1
     19  2  1  4 1 1 1
     20  2  1  5 1 1 1
     21  2  2  1 1 1 1
     22  2  2  2 1 1 1
     23  2  2  3 1 1 1
     24  2  2  4 1 1 1
     25  2  2  5 1 1 1
     26  2  2  6 1 1 1
     27  2  3  1 1 1 1
     28  2  3  2 1 1 1
     29  2  3  3 1 1 1
     30  2  3  4 1 1 1
     31  2  3  5 1 1 1
     32  2  3  6 1 1 1
     33  2  4  1 1 1 1
     34  2  4  2 1 1 1
     35  2  4  3 1 1 1
     36  2  4  4 1 1 1
     37  2  4  5 1 1 1
     38  2  4  6 1 1 1
     39  2  5  1 1 1 1
     40  2  5  2 1 1 1
     41  2  5  3 1 1 1
     42  2  5  4 1 1 1
     43  2  5  5 1 1 1
     44  2  5  6 1 1 1
     45  2  6  2 1 1 1
     46  2  6  3 1 1 1
     47  2  6  4 1 1 1
     48  2  6  5 1 1 1
     49  3  1  2 1 1 1
     50  3  1  3 1 1 1
     51  3  1  4 1 1 1
     52  3  1  5 1 1 1
     53  3  2  1 1 1 1
     54  3  2  2 1 1 1
     55  3  2  3 1 1 1
     56  3  2  4 1 1 1
     57  3  2  5 1 1 1
     58  3  2  6 1 1 1
     59  3  3  1 1 1 1
     60  3  3  2 1 1 1
     61  3  3  3 1 1 1
     62  3  3  4 1 1 1
     63  3  3  5 1 1 1
     64  3  3  6 1 1 1
     65  3  4  1 1 1 1
     66  3  4  2 1 1 1
     67  3  4  3 1 1 1
     68  3  4  4 1 1 1
     69  3  4  5 1 1 1
     70  3  4  6 1 1 1
     71  3  5  1 1 1 1
     72  3  5  2 1 1 1
     73  3  5  3 1 1 1
     74  3  5  4 1 1 1
     75  3  5  5 1 1 1
     76  3  5  6 1 1 1
     77  3  6  2 1 1 1
     78  3  6  3 1 1 1
     79  3  6  4 1 1 1
     80  3  6  5 1 1 1
     81  4  1  2 1 1 1
     82  4  1  3 1 1 1
     83  4  1  4 1 1 1
     84  4  1  5 1 1 1
     85  4  2  1 1 1 1
     86  4  2  2 1 1 1
     87  4  2  3 1 1 1
     88  4  2  4 1 1 1
     89  4  2  5 1 1 1
     90  4  2  6 1 1 1
     91  4  3  1 1 1 1
     92  4  3  2 1 1 1
     93  4  3  3 1 1 1
     94  4  3  4 1 1 1
     95  4  3  5 1 1 1
     96  4  3  6 1 1 1
     97  4  4  1 1 1 1
     98  4  4  2 1 1 1
     99  4  4  3 1 1 1
     100  4  4  4 1 1 1
     101  4  4  5 1 1 1
     102  4  4  6 1 1 1
     103  4  5  1 1 1 1
     104  4  5  2 1 1 1
     105  4  5  3 1 1 1
     106  4  5  4 1 1 1
     107  4  5  5 1 1 1
     108  4  5  6 1 1 1
     109  4  6  2 1 1 1
     110  4  6  3 1 1 1
     111  4  6  4 1 1 1
     112  4  6  5 1 1 1
     113  5  1  2 1 1 1
     114  5  1  3 1 1 1
     115  5  1  4 1 1 1
     116  5  1  5 1 1 1
     117  5  2  1 1 1 1
     118  5  2  2 1 1 1
     119  5  2  3 1 1 1
     120  5  2  4 1 1 1
     121  5  2  5 1 1 1
     122  5  2  6 1 1 1
     123  5  3  1 1 1 1
     124  5  3  2 1 1 1
     125  5  3  3 1 1 1
     126  5  3  4 1 1 1
     127  5  3  5 1 1 1
     128  5  3  6 1 1 1
     129  5  4  1 1 1 1
     130  5  4  2 1 1 1
     131  5  4  3 1 1 1
     132  5  4  4 1 1 1
     133  5  4  5 1 1 1
     134  5  4  6 1 1 1
     135  5  5  1 1 1 1
     136  5  5  2 1 1 1
     137  5  5  3 1 1 1
     138  5  5  4 1 1 1
     139  5  5  5 1 1 1
     140  5  5  6 1 1 1
     141  5  6  2 1 1 1
     142  5  6  3 1 1 1
     143  5  6  4 1 1 1
     144  5  6  5 1 1 1
     145  6  2  2 1 1 1
     146  6  2  3 1 1 1
     147  6  2  4 1 1 1
     148  6  2  5 1 1 1
     149  6  3  2 1 1 1
     150  6  3  3 1 1 1
     151  6  3  4 1 1 1
     152  6  3  5 1 1 1
     153  6  4  2 1 1 1
     154  6  4  3 1 1 1
     155  6  4  4 1 1 1
     156  6  4  5 1 1 1
     157  6  5  2 1 1 1
     158  6  5  3 1 1 1
     159  6  5  4 1 1 1
     160  6  5  5 1 1 1
