 >REASHP: option FROM_FILE
      5130 = NAT
  1.000000  0.000000  0.000000 = A_1 vector
  0.000000  1.000000  0.000000 = A_2 vector
  1.000000  1.000000  1.000000 = lattice spacings (d_x,d_y,d_z)/d
  -0.02285  -0.13055  -0.18760 = lattice offset x0(1-3) = (x_TF,y_TF,z_TF)/d for dipole 0 0 0
     JA  IX  IY  IZ ICOMP(x,y,z)
    332    1    9   28 1 1 1
    333    1    9   29 1 1 1
    334    1    9   30 1 1 1
    335    1    9   31 1 1 1
    336    1    9   32 1 1 1
    337    1    9   33 1 1 1
    338    1    9   34 1 1 1
    339    1    9   35 1 1 1
    340    1    9   36 1 1 1
    341    1    9   37 1 1 1
    342    1    9   38 1 1 1
    343    1   10    1 1 1 1
    344    1   10    2 1 1 1
    345    1   10    3 1 1 1
    346    1   10    4 1 1 1
    347    1   10    5 1 1 1
    348    1   10    6 1 1 1
    349    1   10    7 1 1 1
    350    1   10    8 1 1 1
    351    1   10    9 1 1 1
    352    1   10   10 1 1 1
    353    1   10   11 1 1 1
    354    1   10   12 1 1 1
    355    1   10   13 1 1 1
    356    1   10   14 1 1 1
    357    1   10   15 1 1 1
    358    1   10   16 1 1 1
    359    1   10   17 1 1 1
    360    1   10   18 1 1 1
    361    1   10   19 1 1 1
    362    1   10   20 1 1 1
    363    1   10   21 1 1 1
    364    1   10   22 1 1 1
    365    1   10   23 1 1 1
    366    1   10   24 1 1 1
    367    1   10   25 1 1 1
    368    1   10   26 1 1 1
    369    1   10   27 1 1 1
    370    1   10   28 1 1 1
    371    1   10   29 1 1 1
    372    1   10   30 1 1 1
    373    1   10   31 1 1 1
    374    1   10   32 1 1 1
    375    1   10   33 1 1 1
    376    1   10   34 1 1 1
    377    1   10   35 1 1 1
    378    1   10   36 1 1 1
    379    1   10   37 1 1 1
    380    1   10   38 1 1 1
    381    1   11    1 1 1 1
    382    1   11    2 1 1 1
    383    1   11    3 1 1 1
    384    1   11    4 1 1 1
    385    1   11    5 1 1 1
    386    1   11    6 1 1 1
    387    1   11    7 1 1 1
    388    1   11    8 1 1 1
    389    1   11    9 1 1 1
    390    1   11   10 1 1 1
    391    1   11   11 1 1 1
    392    1   11   12 1 1 1
    393    1   11   13 1 1 1
    394    1   11   14 1 1 1
    395    1   11   15 1 1 1
    396    1   11   16 1 1 1
    397    1   11   17 1 1 1
    398    1   11   18 1 1 1
    399    1   11   19 1 1 1
    400    1   11   20 1 1 1
    401    1   11   21 1 1 1
    402    1   11   22 1 1 1
    403    1   11   23 1 1 1
    404    1   11   24 1 1 1
    405    1   11   25 1 1 1
    406    1   11   26 1 1 1
    407    1   11   27 1 1 1
    408    1   11   28 1 1 1
    409    1   11   29 1 1 1
    410    1   11   30 1 1 1
    411    1   11   31 1 1 1
    412    1   11   32 1 1 1
    413    1   11   33 1 1 1
    414    1   11   34 1 1 1
    415    1   11   35 1 1 1
    416    1   11   36 1 1 1
    417    1   11   37 1 1 1
    418    1   11   38 1 1 1
    419    1   12    1 1 1 1
    420    1   12    2 1 1 1
    421    1   12    3 1 1 1
    422    1   12    4 1 1 1
    423    1   12    5 1 1 1
    424    1   12    6 1 1 1
    425    1   12    7 1 1 1
    426    1   12    8 1 1 1
    427    1   12    9 1 1 1
    428    1   12   10 1 1 1
    429    1   12   11 1 1 1
    430    1   12   12 1 1 1
    431    1   12   13 1 1 1
    432    1   12   14 1 1 1
    433    1   12   15 1 1 1
    434    1   12   16 1 1 1
    435    1   12   17 1 1 1
    436    1   12   18 1 1 1
    437    1   12   19 1 1 1
    438    1   12   20 1 1 1
    439    1   12   21 1 1 1
    440    1   12   22 1 1 1
    441    1   12   23 1 1 1
    442    1   12   24 1 1 1
    443    1   12   25 1 1 1
    444    1   12   26 1 1 1
    445    1   12   27 1 1 1
    446    1   12   28 1 1 1
    447    1   12   29 1 1 1
    448    1   12   30 1 1 1
    449    1   12   31 1 1 1
    450    1   12   32 1 1 1
    451    1   12   33 1 1 1
    452    1   12   34 1 1 1
    453    1   12   35 1 1 1
    454    1   12   36 1 1 1
    455    1   12   37 1 1 1
    456    1   12   38 1 1 1
    457    1   13    1 1 1 1
    458    1   13    2 1 1 1
    459    1   13    3 1 1 1
    460    1   13    4 1 1 1
    461    1   13    5 1 1 1
    462    1   13    6 1 1 1
    463    1   13    7 1 1 1
    464    1   13    8 1 1 1
    465    1   13    9 1 1 1
    466    1   13   10 1 1 1
    467    1   13   11 1 1 1
    468    1   13   12 1 1 1
    469    1   13   13 1 1 1
    470    1   13   14 1 1 1
    471    1   13   15 1 1 1
    472    1   13   16 1 1 1
    473    1   13   17 1 1 1
    474    1   13   18 1 1 1
    475    1   13   19 1 1 1
    476    1   13   20 1 1 1
    477    1   13   21 1 1 1
    478    1   13   22 1 1 1
    479    1   13   23 1 1 1
    480    1   13   24 1 1 1
    481    1   13   25 1 1 1
    482    1   13   26 1 1 1
    483    1   13   27 1 1 1
    484    1   13   28 1 1 1
    485    1   13   29 1 1 1
    486    1   13   30 1 1 1
    487    1   13   31 1 1 1
    488    1   13   32 1 1 1
    489    1   13   33 1 1 1
    490    1   13   34 1 1 1
    491    1   13   35 1 1 1
    492    1   13   36 1 1 1
    493    1   13   37 1 1 1
    494    1   13   38 1 1 1
    495    1   14    1 1 1 1
    496    1   14    2 1 1 1
    497    1   14    3 1 1 1
    498    1   14    4 1 1 1
    499    1   14    5 1 1 1
    500    1   14    6 1 1 1
    501    1   14    7 1 1 1
    502    1   14    8 1 1 1
    503    1   14    9 1 1 1
    504    1   14   10 1 1 1
    505    1   14   11 1 1 1
    506    1   14   12 1 1 1
    507    1   14   13 1 1 1
    508    1   14   14 1 1 1
    509    1   14   15 1 1 1
    510    1   14   16 1 1 1
    511    1   14   17 1 1 1
    512    1   14   18 1 1 1
    513    1   14   19 1 1 1
    514    1   14   20 1 1 1
    515    1   14   21 1 1 1
    516    1   14   22 1 1 1
    517    1   14   23 1 1 1
    518    1   14   24 1 1 1
    519    1   14   25 1 1 1
    520    1   14   26 1 1 1
    521    1   14   27 1 1 1
    522    1   14   28 1 1 1
    523    1   14   29 1 1 1
    524    1   14   30 1 1 1
    525    1   14   31 1 1 1
    526    1   14   32 1 1 1
    527    1   14   33 1 1 1
    528    1   14   34 1 1 1
    529    1   14   35 1 1 1
    530    1   14   36 1 1 1
    531    1   14   37 1 1 1
    532    1   14   38 1 1 1
    533    1   15    1 1 1 1
    534    1   15    2 1 1 1
    535    1   15    3 1 1 1
    536    1   15    4 1 1 1
    537    1   15    5 1 1 1
    538    1   15    6 1 1 1
    539    1   15    7 1 1 1
    540    1   15    8 1 1 1
    541    1   15    9 1 1 1
    542    1   15   10 1 1 1
    543    1   15   11 1 1 1
    544    1   15   12 1 1 1
    545    1   15   13 1 1 1
    546    1   15   14 1 1 1
    547    1   15   15 1 1 1
    548    1   15   16 1 1 1
    549    1   15   17 1 1 1
    550    1   15   18 1 1 1
    551    1   15   19 1 1 1
    552    1   15   20 1 1 1
    553    1   15   21 1 1 1
    554    1   15   22 1 1 1
    555    1   15   23 1 1 1
    556    1   15   24 1 1 1
    557    1   15   25 1 1 1
    558    1   15   26 1 1 1
    559    1   15   27 1 1 1
    560    1   15   28 1 1 1
    561    1   15   29 1 1 1
    562    1   15   30 1 1 1
    563    1   15   31 1 1 1
    564    1   15   32 1 1 1
    565    1   15   33 1 1 1
    566    1   15   34 1 1 1
    567    1   15   35 1 1 1
    568    1   15   36 1 1 1
    569    1   15   37 1 1 1
    570    1   15   38 1 1 1
    571    1   16    1 1 1 1
