>GEOMETRY   sphere; AX,AY,AZ= 0.4466 0.4466 0.4466
     41472 = NAT 
  1.000000  0.000000  0.000000 = A_1 vector
  0.000000  1.000000  0.000000 = A_2 vector
  1.000000  1.000000  1.000000 = lattice spacings (d_x,d_y,d_z)/d
 0.00000 0.00000 0.00000 = lattice offset x0(1-3) = (x_TF, y_TF, z_TF)/d for dipole 0 0 0
     JA  IX  IY  IZ ICOMP(x,y,z)
     199  2  19  13 1 1 1
     200  2  19  14 1 1 1
     201  2  19  15 1 1 1
     202  2  19  16 1 1 1
     203  2  19  17 1 1 1
     204  2  19  18 1 1 1
     205  2  19  19 1 1 1
     206  2  19  20 1 1 1
     207  2  19  21 1 1 1
     208  2  19  22 1 1 1
     209  2  19  23 1 1 1
     210  2  19  24 1 1 1
     211  2  19  25 1 1 1
     212  2  19  26 1 1 1
     213  2  19  28 1 1 1
     214  2  19  29 1 1 1
     215  2  19  30 1 1 1
     216  2  19  31 1 1 1
     217  2  20  13 1 1 1
     218  2  20  14 1 1 1
     219  2  20  15 1 1 1
     220  2  20  16 1 1 1
     221  2  20  17 1 1 1
     222  2  20  18 1 1 1
     223  2  20  19 1 1 1
     224  2  20  20 1 1 1
     225  2  20  21 1 1 1
     226  2  20  22 1 1 1
     227  2  20  23 1 1 1
     228  2  20  24 1 1 1
     229  2  20  25 1 1 1
     230  2  20  26 1 1 1
     231  2  20  28 1 1 1
     232  2  20  29 1 1 1
     233  2  20  30 1 1 1
     234  2  20  31 1 1 1
     235  2  21  13 1 1 1
     236  2  21  14 1 1 1
     237  2  21  15 1 1 1
     238  2  21  16 1 1 1
     239  2  21  17 1 1 1
     240  2  21  18 1 1 1
     241  2  21  19 1 1 1
     242  2  21  20 1 1 1
     243  2  21  21 1 1 1
     244  2  21  22 1 1 1
     245  2  21  23 1 1 1
     246  2  21  24 1 1 1
     247  2  21  25 1 1 1
     248  2  21  26 1 1 1
     249  2  21  28 1 1 1
     250  2  21  29 1 1 1
     251  2  21  30 1 1 1
     252  2  21  31 1 1 1
     253  2  22  13 1 1 1
     254  2  22  14 1 1 1
     255  2  22  15 1 1 1
     256  2  22  16 1 1 1
     257  2  22  17 1 1 1
     258  2  22  18 1 1 1
     259  2  22  19 1 1 1
     260  2  22  20 1 1 1
     261  2  22  21 1 1 1
     262  2  22  22 1 1 1
