 >REASHP: option FROM_FILE
        40 = NAT
  1.000000  0.000000  0.000000 = A_1 vector
  0.000000  1.000000  0.000000 = A_2 vector
  1.000000  1.000000  1.000000 = lattice spacings (d_x,d_y,d_z)/d
  -0.03500  -0.00000  -0.02000 = lattice offset x0(1-3) = (x_TF,y_TF,z_TF)/d for dipole 0 0 0
     JA  IX  IY  IZ ICOMP(x,y,z)
      1    1    1    1 1 1 1
      2    1    1    2 1 1 1
      3    1    1    3 1 1 1
      4    1    1    4 1 1 1
      5    1    1    5 1 1 1
      6    2    1    1 1 1 1
      7    2    1    2 1 1 1
      8    2    1    3 1 1 1
      9    2    1    4 1 1 1
     10    2    1    5 1 1 1
     11    3    1    1 1 1 1
     12    3    1    2 1 1 1
     13    3    1    3 1 1 1
     14    3    1    4 1 1 1
     15    3    1    5 1 1 1
     16    4    1    1 1 1 1
     17    4    1    2 1 1 1
     18    4    1    3 1 1 1
     19    4    1    4 1 1 1
     20    4    1    5 1 1 1
     21    5    1    1 1 1 1
     22    5    1    2 1 1 1
     23    5    1    3 1 1 1
     24    5    1    4 1 1 1
     25    5    1    5 1 1 1
     26    6    1    1 1 1 1
     27    6    1    2 1 1 1
     28    6    1    3 1 1 1
     29    6    1    4 1 1 1
     30    6    1    5 1 1 1
     31    7    1    1 1 1 1
     32    7    1    2 1 1 1
     33    7    1    3 1 1 1
     34    7    1    4 1 1 1
     35    7    1    5 1 1 1
     36    8    1    1 1 1 1
     37    8    1    2 1 1 1
     38    8    1    3 1 1 1
     39    8    1    4 1 1 1
     40    8    1    5 1 1 1
