 >TARELL  ellipsoidal grain; AX,AY,AZ= 20.0000 20.0000 20.0000
      4224 = NAT
  1.000000  0.000000  0.000000 = A_1 vector
  0.000000  1.000000  0.000000 = A_2 vector
  1.000000  1.000000  1.000000 = lattice spacings (d_x,d_y,d_z)/d
   0.50000   0.50000   0.50000 = lattice offset x0(1-3) = (x_TF,y_TF,z_TF)/d for dipole 0 0 0
     JA  IX  IY  IZ ICOMP(x,y,z)
    174    3   -2   -8 1 1 1
    175    4   -2   -8 1 1 1
    176    5   -2   -8 1 1 1
    177   -7   -1   -8 1 1 1
    178   -6   -1   -8 1 1 1
    179   -5   -1   -8 1 1 1
    180   -4   -1   -8 1 1 1
    181   -3   -1   -8 1 1 1
    182   -2   -1   -8 1 1 1
    183   -1   -1   -8 1 1 1
    184    0   -1   -8 1 1 1
    185    1   -1   -8 1 1 1
    186    2   -1   -8 1 1 1
    187    3   -1   -8 1 1 1
    188    4   -1   -8 1 1 1
    189    5   -1   -8 1 1 1
    190    6   -1   -8 1 1 1
    191   -7    0   -8 1 1 1
    192   -6    0   -8 1 1 1
    193   -5    0   -8 1 1 1
    194   -4    0   -8 1 1 1
    195   -3    0   -8 1 1 1
    196   -2    0   -8 1 1 1
    197   -1    0   -8 1 1 1
    198    0    0   -8 1 1 1
    199    1    0   -8 1 1 1
    200    2    0   -8 1 1 1
    201    3    0   -8 1 1 1
    202    4    0   -8 1 1 1
    203    5    0   -8 1 1 1
    204    6    0   -8 1 1 1
    205   -6    1   -8 1 1 1
    206   -5    1   -8 1 1 1
    207   -4    1   -8 1 1 1
    208   -3    1   -8 1 1 1
    209   -2    1   -8 1 1 1
    210   -1    1   -8 1 1 1
    211    0    1   -8 1 1 1
    212    1    1   -8 1 1 1
    213    2    1   -8 1 1 1
    214    3    1   -8 1 1 1
    215    4    1   -8 1 1 1
    216    5    1   -8 1 1 1
    217   -6    2   -8 1 1 1
    218   -5    2   -8 1 1 1
    219   -4    2   -8 1 1 1
    220   -3    2   -8 1 1 1
    221   -2    2   -8 1 1 1
    222   -1    2   -8 1 1 1
    223    0    2   -8 1 1 1
    224    1    2   -8 1 1 1
    225    2    2   -8 1 1 1
    226    3    2   -8 1 1 1
    227    4    2   -8 1 1 1
    228    5    2   -8 1 1 1
    229   -6    3   -8 1 1 1
    230   -5    3   -8 1 1 1
    231   -4    3   -8 1 1 1
    232   -3    3   -8 1 1 1
    233   -2    3   -8 1 1 1
    234   -1    3   -8 1 1 1
    235    0    3   -8 1 1 1
    236    1    3   -8 1 1 1
    237    2    3   -8 1 1 1
    238    3    3   -8 1 1 1
    239    4    3   -8 1 1 1
    240    5    3   -8 1 1 1
    241   -5    4   -8 1 1 1
    242   -4    4   -8 1 1 1
    243   -3    4   -8 1 1 1
    244   -2    4   -8 1 1 1
    245   -1    4   -8 1 1 1
    246    0    4   -8 1 1 1
    247    1    4   -8 1 1 1
    248    2    4   -8 1 1 1
    249    3    4   -8 1 1 1
    250    4    4   -8 1 1 1
    251   -4    5   -8 1 1 1
    252   -3    5   -8 1 1 1
    253   -2    5   -8 1 1 1
    254   -1    5   -8 1 1 1
    255    0    5   -8 1 1 1
    256    1    5   -8 1 1 1
    257    2    5   -8 1 1 1
    258    3    5   -8 1 1 1
    259   -1    6   -8 1 1 1
    260    0    6   -8 1 1 1
    261   -1   -8   -7 1 1 1
    262    0   -8   -7 1 1 1
    263   -4   -7   -7 1 1 1
    264   -3   -7   -7 1 1 1
    265   -2   -7   -7 1 1 1
    266   -1   -7   -7 1 1 1
    267    0   -7   -7 1 1 1
    268    1   -7   -7 1 1 1
    269    2   -7   -7 1 1 1
    270    3   -7   -7 1 1 1
    271   -5   -6   -7 1 1 1
    272   -4   -6   -7 1 1 1
    273   -3   -6   -7 1 1 1
    274   -2   -6   -7 1 1 1
    275   -1   -6   -7 1 1 1
    276    0   -6   -7 1 1 1
    277    1   -6   -7 1 1 1
    278    2   -6   -7 1 1 1
    279    3   -6   -7 1 1 1
    280    4   -6   -7 1 1 1
    281   -6   -5   -7 1 1 1
    282   -5   -5   -7 1 1 1
    283   -4   -5   -7 1 1 1
    284   -3   -5   -7 1 1 1
    285   -2   -5   -7 1 1 1
    286   -1   -5   -7 1 1 1
    287    0   -5   -7 1 1 1
    288    1   -5   -7 1 1 1
    289    2   -5   -7 1 1 1
    290    3   -5   -7 1 1 1
    291    4   -5   -7 1 1 1
    292    5   -5   -7 1 1 1
    293   -7   -4   -7 1 1 1
    294   -6   -4   -7 1 1 1
    295   -5   -4   -7 1 1 1
    296   -4   -4   -7 1 1 1
    297   -3   -4   -7 1 1 1
    298   -2   -4   -7 1 1 1
    299   -1   -4   -7 1 1 1
    300    0   -4   -7 1 1 1
    301    1   -4   -7 1 1 1
    302    2   -4   -7 1 1 1
    303    3   -4   -7 1 1 1
    304    4   -4   -7 1 1 1
    305    5   -4   -7 1 1 1
    306    6   -4   -7 1 1 1
    307   -7   -3   -7 1 1 1
    308   -6   -3   -7 1 1 1
    309   -5   -3   -7 1 1 1
    310   -4   -3   -7 1 1 1
    311   -3   -3   -7 1 1 1
    312   -2   -3   -7 1 1 1
    313   -1   -3   -7 1 1 1
    314    0   -3   -7 1 1 1
    315    1   -3   -7 1 1 1
    316    2   -3   -7 1 1 1
    317    3   -3   -7 1 1 1
    318    4   -3   -7 1 1 1
    319    5   -3   -7 1 1 1
    320    6   -3   -7 1 1 1
    321   -7   -2   -7 1 1 1
    322   -6   -2   -7 1 1 1
    323   -5   -2   -7 1 1 1
    324   -4   -2   -7 1 1 1
    325   -3   -2   -7 1 1 1
    326   -2   -2   -7 1 1 1
    327   -1   -2   -7 1 1 1
    328    0   -2   -7 1 1 1
    329    1   -2   -7 1 1 1
    330    2   -2   -7 1 1 1
    331    3   -2   -7 1 1 1
    332    4   -2   -7 1 1 1
    333    5   -2   -7 1 1 1
    334    6   -2   -7 1 1 1
    335   -8   -1   -7 1 1 1
    336   -7   -1   -7 1 1 1
    337   -6   -1   -7 1 1 1
    338   -5   -1   -7 1 1 1
    339   -4   -1   -7 1 1 1
    340   -3   -1   -7 1 1 1
    341   -2   -1   -7 1 1 1
    342   -1   -1   -7 1 1 1
    343    0   -1   -7 1 1 1
    344    1   -1   -7 1 1 1
    345    2   -1   -7 1 1 1
    346    3   -1   -7 1 1 1
    347    4   -1   -7 1 1 1
    348    5   -1   -7 1 1 1
    349    6   -1   -7 1 1 1
    350    7   -1   -7 1 1 1
    351   -8    0   -7 1 1 1
    352   -7    0   -7 1 1 1
    353   -6    0   -7 1 1 1
    354   -5    0   -7 1 1 1
    355   -4    0   -7 1 1 1
    356   -3    0   -7 1 1 1
    357   -2    0   -7 1 1 1
    358   -1    0   -7 1 1 1
    359    0    0   -7 1 1 1
    360    1    0   -7 1 1 1
    361    2    0   -7 1 1 1
    362    3    0   -7 1 1 1
    363    4    0   -7 1 1 1
    364    5    0   -7 1 1 1
    365    6    0   -7 1 1 1
    366    7    0   -7 1 1 1
    367   -7    1   -7 1 1 1
    368   -6    1   -7 1 1 1
    369   -5    1   -7 1 1 1
    370   -4    1   -7 1 1 1
    371   -3    1   -7 1 1 1
    372   -2    1   -7 1 1 1
    373   -1    1   -7 1 1 1
    374    0    1   -7 1 1 1
    375    1    1   -7 1 1 1
    376    2    1   -7 1 1 1
    377    3    1   -7 1 1 1
    378    4    1   -7 1 1 1
    379    5    1   -7 1 1 1
    380    6    1   -7 1 1 1
    381   -7    2   -7 1 1 1
    382   -6    2   -7 1 1 1
    383   -5    2   -7 1 1 1
    384   -4    2   -7 1 1 1
    385   -3    2   -7 1 1 1
    386   -2    2   -7 1 1 1
    387   -1    2   -7 1 1 1
    388    0    2   -7 1 1 1
    389    1    2   -7 1 1 1
    390    2    2   -7 1 1 1
    391    3    2   -7 1 1 1
    392    4    2   -7 1 1 1
    393    5    2   -7 1 1 1
    394    6    2   -7 1 1 1
    395   -7    3   -7 1 1 1
    396   -6    3   -7 1 1 1
    397   -5    3   -7 1 1 1
    398   -4    3   -7 1 1 1
    399   -3    3   -7 1 1 1
    400   -2    3   -7 1 1 1
    401   -1    3   -7 1 1 1
    402    0    3   -7 1 1 1
    403    1    3   -7 1 1 1
    404    2    3   -7 1 1 1
    405    3    3   -7 1 1 1
    406    4    3   -7 1 1 1
    407    5    3   -7 1 1 1
    408    6    3   -7 1 1 1
    409   -6    4   -7 1 1 1
    410   -5    4   -7 1 1 1
    411   -4    4   -7 1 1 1
    412   -3    4   -7 1 1 1
    413   -2    4   -7 1 1 1
    414   -1    4   -7 1 1 1
    415    0    4   -7 1 1 1
    416    1    4   -7 1 1 1
    417    2    4   -7 1 1 1
    418    3    4   -7 1 1 1
    419    4    4   -7 1 1 1
    420    5    4   -7 1 1 1
    421   -5    5   -7 1 1 1
    422   -4    5   -7 1 1 1
    423   -3    5   -7 1 1 1
    424   -2    5   -7 1 1 1
    425   -1    5   -7 1 1 1
    426    0    5   -7 1 1 1
    427    1    5   -7 1 1 1
    428    2    5   -7 1 1 1
    429    3    5   -7 1 1 1
    430    4    5   -7 1 1 1
    431   -4    6   -7 1 1 1
    432   -3    6   -7 1 1 1
    433   -2    6   -7 1 1 1
    434   -1    6   -7 1 1 1
    435    0    6   -7 1 1 1
    436    1    6   -7 1 1 1
    437    2    6   -7 1 1 1
    438    3    6   -7 1 1 1
    439   -1    7   -7 1 1 1
    440    0    7   -7 1 1 1
    441   -4   -8   -6 1 1 1
    442   -3   -8   -6 1 1 1
    443   -2   -8   -6 1 1 1
    444   -1   -8   -6 1 1 1
    445    0   -8   -6 1 1 1
    446    1   -8   -6 1 1 1
    447    2   -8   -6 1 1 1
    448    3   -8   -6 1 1 1
    449   -5   -7   -6 1 1 1
    450   -4   -7   -6 1 1 1
    451   -3   -7   -6 1 1 1
    452   -2   -7   -6 1 1 1
    453   -1   -7   -6 1 1 1
    454    0   -7   -6 1 1 1
    455    1   -7   -6 1 1 1
    456    2   -7   -6 1 1 1
    457    3   -7   -6 1 1 1
    458    4   -7   -6 1 1 1
    459   -6   -6   -6 1 1 1
    460   -5   -6   -6 1 1 1
    461   -4   -6   -6 1 1 1
    462   -3   -6   -6 1 1 1
    463   -2   -6   -6 1 1 1
    464   -1   -6   -6 1 1 1
    465    0   -6   -6 1 1 1
    466    1   -6   -6 1 1 1
    467    2   -6   -6 1 1 1
    468    3   -6   -6 1 1 1
    469    4   -6   -6 1 1 1
    470    5   -6   -6 1 1 1
    471   -7   -5   -6 1 1 1
    472   -6   -5   -6 1 1 1
    473   -5   -5   -6 1 1 1
    474   -4   -5   -6 1 1 1
    475   -3   -5   -6 1 1 1
    476   -2   -5   -6 1 1 1
    477   -1   -5   -6 1 1 1
    478    0   -5   -6 1 1 1
    479    1   -5   -6 1 1 1
    480    2   -5   -6 1 1 1
    481    3   -5   -6 1 1 1
    482    4   -5   -6 1 1 1
    483    5   -5   -6 1 1 1
    484    6   -5   -6 1 1 1
    485   -8   -4   -6 1 1 1
    486   -7   -4   -6 1 1 1
    487   -6   -4   -6 1 1 1
    488   -5   -4   -6 1 1 1
    489   -4   -4   -6 1 1 1
    490   -3   -4   -6 1 1 1
    491   -2   -4   -6 1 1 1
    492   -1   -4   -6 1 1 1
    493    0   -4   -6 1 1 1
    494    1   -4   -6 1 1 1
    495    2   -4   -6 1 1 1
    496    3   -4   -6 1 1 1
    497    4   -4   -6 1 1 1
    498    5   -4   -6 1 1 1
    499    6   -4   -6 1 1 1
    500    7   -4   -6 1 1 1
    501   -8   -3   -6 1 1 1
    502   -7   -3   -6 1 1 1
    503   -6   -3   -6 1 1 1
    504   -5   -3   -6 1 1 1
    505   -4   -3   -6 1 1 1
    506   -3   -3   -6 1 1 1
    507   -2   -3   -6 1 1 1
    508   -1   -3   -6 1 1 1
    509    0   -3   -6 1 1 1
    510    1   -3   -6 1 1 1
    511    2   -3   -6 1 1 1
    512    3   -3   -6 1 1 1
    513    4   -3   -6 1 1 1
    514    5   -3   -6 1 1 1
    515    6   -3   -6 1 1 1
    516    7   -3   -6 1 1 1
    517   -8   -2   -6 1 1 1
    518   -7   -2   -6 1 1 1
    519   -6   -2   -6 1 1 1
    520   -5   -2   -6 1 1 1
    521   -4   -2   -6 1 1 1
    522   -3   -2   -6 1 1 1
    523   -2   -2   -6 1 1 1
    524   -1   -2   -6 1 1 1
    525    0   -2   -6 1 1 1
    526    1   -2   -6 1 1 1
    527    2   -2   -6 1 1 1
    528    3   -2   -6 1 1 1
    529    4   -2   -6 1 1 1
    530    5   -2   -6 1 1 1
    531    6   -2   -6 1 1 1
    532    7   -2   -6 1 1 1
    533   -8   -1   -6 1 1 1
    534   -7   -1   -6 1 1 1
    535   -6   -1   -6 1 1 1
    536   -5   -1   -6 1 1 1
    537   -4   -1   -6 1 1 1
    538   -3   -1   -6 1 1 1
    539   -2   -1   -6 1 1 1
    540   -1   -1   -6 1 1 1
    541    0   -1   -6 1 1 1
    542    1   -1   -6 1 1 1
    543    2   -1   -6 1 1 1
    544    3   -1   -6 1 1 1
    545    4   -1   -6 1 1 1
    546    5   -1   -6 1 1 1
    547    6   -1   -6 1 1 1
    548    7   -1   -6 1 1 1
    549   -8    0   -6 1 1 1
    550   -7    0   -6 1 1 1
    551   -6    0   -6 1 1 1
    552   -5    0   -6 1 1 1
    553   -4    0   -6 1 1 1
    554   -3    0   -6 1 1 1
    555   -2    0   -6 1 1 1
    556   -1    0   -6 1 1 1
    557    0    0   -6 1 1 1
    558    1    0   -6 1 1 1
    559    2    0   -6 1 1 1
    560    3    0   -6 1 1 1
    561    4    0   -6 1 1 1
    562    5    0   -6 1 1 1
    563    6    0   -6 1 1 1
    564    7    0   -6 1 1 1
    565   -8    1   -6 1 1 1
    566   -7    1   -6 1 1 1
    567   -6    1   -6 1 1 1
    568   -5    1   -6 1 1 1
    569   -4    1   -6 1 1 1
    570   -3    1   -6 1 1 1
    571   -2    1   -6 1 1 1
    572   -1    1   -6 1 1 1
    573    0    1   -6 1 1 1
    574    1    1   -6 1 1 1
    575    2    1   -6 1 1 1
    576    3    1   -6 1 1 1
    577    4    1   -6 1 1 1
    578    5    1   -6 1 1 1
    579    6    1   -6 1 1 1
    580    7    1   -6 1 1 1
    581   -8    2   -6 1 1 1
    582   -7    2   -6 1 1 1
    583   -6    2   -6 1 1 1
    584   -5    2   -6 1 1 1
    585   -4    2   -6 1 1 1
    586   -3    2   -6 1 1 1
    587   -2    2   -6 1 1 1
    588   -1    2   -6 1 1 1
    589    0    2   -6 1 1 1
    590    1    2   -6 1 1 1
    591    2    2   -6 1 1 1
